,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev
0,01013500,0.7787983096970554,0.08818832081667187,0.8275988249364638,0.23598741453382988,0.5086639242491038,6.332147889904208,5.487798968892802,0,0,147,0,90,13,-2.4068963419104827,-1.8071575862905467,0.7963719850919421,0.8041498123679758,0.5326342932013619,0.7531404942608415,-0.22596806349079063,1.6156183930708454,0.7760714339501917,0.16085057261922497,0.08818832081667188,0.7297072211792501
1,01022500,0.7933516619500189,-0.09493425473670887,0.8759637602666613,0.19983057537075055,0.37809316072719024,7.202226480580158,6.220131683275952,0,0,487,0,74,85,-3.0610266412340246,-2.5646670473331907,0.674291834163336,0.7309123460795514,0.6374733059487062,0.8415651757604785,-0.20440322082009035,1.0738237515171083,0.8114322727230479,-0.12855806402411674,-0.09493425473670905,0.8241196128915371
2,01030500,0.6970530438645623,0.2268342701936772,0.9742135672489636,0.11929531914674296,0.456228336004458,7.397641529146213,6.970642581401589,0,0,533,0,224,22,-3.5745870843011884,-2.1510524105966313,0.7027081615395716,0.763490391336821,0.5061046144451153,0.7192634707381086,-0.16708704838557709,3.6846129520420905,0.732714482958972,0.33323589995915537,0.22683427019367725,0.6667815762283258
3,01031500,0.7835504778276645,0.20497257238105698,0.9071426909486096,0.10147992006315709,0.37731837903202653,8.265858928449637,8.018077913758848,0,0,574,26,291,90,-3.4247591646864337,-2.3532045631976155,0.6055002506977367,0.6900909723414881,0.5585158265580694,0.7723869743989489,-0.18654022775611415,3.332783662982954,0.7512324679178694,0.2596525293539561,0.20497257238105726,0.690686132712838
4,01047000,0.7667833109704764,0.19192011329610562,0.9528018503391704,0.19543159804870847,0.41250364639965575,8.192062376201514,8.33325350776927,0,0,271,48,228,90,-2.9114848541186618,-2.381320873651824,0.6095401429757682,0.6804643732024219,0.5753869410244441,0.8010646336625455,-0.1696864089982002,1.4006850843648158,0.7721415888322051,0.22354967262727618,0.19192011329610562,0.8094354346306741
5,01052500,0.7872784125800109,0.15153891707449585,0.8330941067282883,0.2943899171198809,0.5279464970372616,8.62030887283448,8.629099007074451,0,0,120,36,205,67,-2.5272866079368295,-2.346203566169912,0.6011269057665339,0.6990838938104129,0.5592905560521841,0.7990208618126747,-0.2585887823076811,1.0606506261692756,0.7510721498647683,0.16522038870453434,0.15153891707449588,0.8295854471827485
6,01054200,0.7193590775953427,0.2299677356102341,0.921110963949669,0.2763132690110996,0.48758020113311984,10.328141213046054,11.329535147488878,0,0,194,133,234,104,-2.850167594464254,-2.325246489359448,0.5728778205075779,0.628591246865174,0.5031868818654388,0.7431923363760008,-0.20998643840187048,1.0971493389942384,0.7191027972777246,0.20026920925359368,0.2299677356102341,0.8600493347629847
7,01055000,0.733927957755677,0.12302902986533679,0.8761470734728755,0.1950531077715707,0.32926298941801857,8.728624192027453,8.94273717876394,0,0,267,157,246,113,-2.832930879238089,-2.5458412763242806,0.578183167969738,0.6513573496696534,0.5780034932103766,0.7947180308585411,-0.25182948809200123,1.0260139949162386,0.7760761827429841,0.1388119082133279,0.12302902986533679,0.8513825881023114
8,01057000,0.7201933223792116,0.21534647027028772,1.019508115538676,0.0912887669046547,0.32465698741984583,7.534540943907109,7.6669268405098085,0,0,610,76,197,83,-3.047036148388413,-2.5513556110688027,0.6222132629877803,0.6821269815290679,0.5524280414650349,0.7797252010748388,-0.15522180504696956,2.7583849779168665,0.7490246114553414,0.293190942916225,0.21534647027028767,0.7570194327861784
9,01073000,0.8395174869970732,0.1386528916305764,0.8856270529910791,0.062481487372491484,0.3518104351071949,6.220810373375614,5.886258172698419,0,0,928,2,138,61,-3.4428795893838076,-2.6224326343575854,0.6194388081138175,0.6892376916338914,0.5967380571009191,0.8179058501474802,-0.1495133003927988,5.350815253009305,0.8032241345510996,0.21744338089407744,0.1386528916305766,0.6317913305784117
