,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev,r_coeff
0,01013500,0.7412739249617092,-0.08745742260925031,0.8393961533442185,0.23598741453382988,0.42361025671349045,6.332147889904208,4.898679198181104,0,0,147,0,90,58,-2.4068963419104827,-1.6295651130313722,0.7963719850919421,0.7655842834219532,0.5383733964548653,0.7534282665905725,-0.1983661435940479,1.317616936980626,0.7723308581750543,-0.17418524301595248,-0.08745742260925034,0.7494254279214867,0.8643871620781407
1,01022500,0.7760845041512101,-0.16212299113589482,0.87267561519113,0.19983057537075055,0.29673819329010354,7.202226480580158,5.965692048139944,0,0,487,8,74,92,-3.0610266412340246,-2.6953979012283105,0.674291834163336,0.697931716236217,0.6106479056587752,0.8220890262673828,-0.1860842393349142,0.7575293485511437,0.7669675679301817,-0.22797378823131606,-0.16212299113589498,0.8719373665219965,0.8913319220075747
2,01030500,0.739470688662615,-0.009687221022297,0.8879623399936221,0.11929531914674296,0.3709025151646888,7.397641529146213,6.29555952429788,0,0,533,1,224,73,-3.5745870843011884,-2.1595741899184873,0.7027081615395716,0.7307942598590216,0.5858622156428277,0.7897008283981514,-0.2060275246808024,2.921943932978427,0.8207389876579181,-0.01586731339462985,-0.009687221022297104,0.6856679152980164,0.8603997455766341
3,01031500,0.8169206264604981,0.07712624540656703,0.9353577275384974,0.10147992006315709,0.25538721777226664,8.265858928449637,8.072499501192981,0,0,574,123,291,172,-3.4247591646864337,-2.6920269724828625,0.6055002506977367,0.6395957354228894,0.6463393686417136,0.8409544210551564,-0.17697224696980884,2.1835655431045997,0.8619745424191911,0.10346258427547117,0.07712624540656711,0.7818492209083279,0.9055333613337994
4,01047000,0.8085727662892875,0.08688301816221503,0.9617785976276865,0.19543159804870847,0.29853718868612916,8.192062376201514,8.245866302932809,0,0,271,100,228,136,-2.9114848541186618,-2.695778226893556,0.6095401429757682,0.6439791724284055,0.647925659451929,0.8501691642045739,-0.15315150733907668,0.8006428789691182,0.8641635009487186,0.10608467314272264,0.0868830181622151,0.8925345982447237,0.9028299427280879
5,01052500,0.7765681719305215,0.0573288932248451,0.8541753352429104,0.2943899171198809,0.4531589245991573,8.62030887283448,8.18445428956451,0,0,120,21,205,109,-2.5272866079368295,-2.2111458702152347,0.6011269057665339,0.6545663532018168,0.5937635998215212,0.8127897438159304,-0.24392734251851933,0.8694148070563326,0.804095771204609,0.06527565684569818,0.05732889322484515,0.8424111909460389,0.8824115991689074
6,01054200,0.7007921293028053,0.06667460568651304,0.8944516782044499,0.2763132690110996,0.3439352827493922,10.328141213046054,10.775372712849626,0,0,194,183,234,168,-2.850167594464254,-2.634468504533982,0.5728778205075779,0.5834080676228617,0.5684537818976623,0.781680336294811,-0.2578818912074339,0.563997371073573,0.7968086838832906,0.0624508330994841,0.06667460568651298,0.9341410097548779,0.8396854352595139
7,01055000,0.7312453417432336,-0.02497712442565384,0.8240034770818571,0.1950531077715707,0.25230275965018334,8.728624192027453,8.309423980274598,0,0,267,157,246,178,-2.832930879238089,-2.793281684621342,0.578183167969738,0.6154389207509928,0.6213868690075575,0.817360019283448,-0.30395128519522785,0.6273843245008995,0.7711326748250072,-0.030260887755218624,-0.024977124425653717,0.8982229296119301,0.8558416852592093
8,01057000,0.7555501364976526,0.16470357980817443,1.0413800854819846,0.0912887669046547,0.26558627774820254,7.534540943907109,7.64023662214708,0,0,610,188,197,113,-3.047036148388413,-2.7475402808269687,0.6222132629877803,0.6523689677893836,0.601723870185829,0.8206872803859512,-0.12530265363072424,2.1983629820344586,0.7971013071945805,0.22920584115892398,0.16470357980817424,0.8086483390150958,0.8889671270928112
9,01073000,0.7844636837515668,0.16972255106869913,1.0846594349949634,0.062481487372491484,0.27959623469791134,6.220810373375614,6.287213748877017,0,0,928,66,138,93,-3.4428795893838076,-2.816858100766634,0.6194388081138175,0.6367616218672236,0.5963231260646651,0.8252637001135674,0.040016391097312407,4.325844690319616,0.7890990894250729,0.2625254931623432,0.16972255106869927,0.692397046160584,0.9077707757465141
10,01078000,0.7979693903451646,0.025927071569865127,0.9754123441506861,0.14318665375801087,0.2704986473185916,6.762816983550806,5.899336091939836,0,0,507,40,149,77,-2.8556457298943503,-2.4948982564340794,0.6312544441214634,0.6731620918701602,0.6250129719782935,0.844251086436216,-0.13328582676743053,1.311240713214251,0.8908928415060385,0.04341630089889966,0.025927071569865175,0.8234678624168338,0.8969097183325546
11,01118300,0.8231711818826394,-0.05728546549153282,0.94081705938754,0.06817396385798236,0.3347562886356645,6.817395195100765,5.920688884485149,0,0,986,44,70,62,-3.7090252000439015,-2.507768909131196,0.6568266025888818,0.6774537607386665,0.6424005081999575,0.8449084124034417,-0.13156943264109444,4.946927267996363,0.8770828115142981,-0.0730801969680691,-0.05728546549153284,0.6178612195792342,0.9087619037402139
12,01121000,0.7847952962525556,-0.07951147974020063,1.007402306630617,0.05947754484760526,0.15494822831840352,5.7709737284510485,5.672318228605755,0,0,858,362,105,165,-3.2724851183906187,-3.460290048252051,0.6328328340460854,0.6028086957719941,0.605708780094657,0.8211470652058445,-0.13836030207496633,2.059325628527184,0.8677020488863558,-0.13451014354976912,-0.0795114797402005,0.8219111076955005,0.8945207209214143
13,01123000,0.7235976247704858,-0.11635046324499507,0.9810850166508247,0.21420726498724707,0.22525450936035268,5.060646637531292,4.6685012218761575,0,0,267,26,78,100,-2.8053619950274298,-3.1711013059349256,0.680707649852354,0.6581785404611895,0.5982082119933915,0.8004829622955142,-0.1956535034971438,0.18789150889246886,0.8190496044867867,-0.22190806490172574,-0.11635046324499504,1.0083237704465877,0.8627125688784155
14,01134500,0.7096697828470819,0.040118399246187056,0.9659490910064091,0.2513383061507559,0.37268830552750104,7.238543400391274,7.110013611123502,0,0,216,46,125,92,-2.530658698850601,-2.2609692343333587,0.6118858571367842,0.6472462762422377,0.545354902305938,0.7661047475214827,-0.1950368937481614,0.6678925806152578,0.8417694952933578,0.05324693048663943,0.040118399246187146,0.8722131020353117,0.850775530631359
15,01137500,0.7790049595407657,0.06583955019787546,0.9562729056906277,0.5108135794371348,0.5931904436183354,8.007959866256606,8.108801104245725,0,0,40,39,111,61,-2.3654740962275995,-2.076574538719572,0.6582117126354505,0.6654493790036311,0.5874516061278481,0.8124502738932761,-0.1675278841817414,0.43214043377754957,0.8619606746522986,0.06886572876159819,0.06583955019787567,0.941413788409193,0.8868277852321991
16,01139000,0.7248923964884315,-0.05833596079905788,0.9281273740613261,0.2785155066953946,0.2987925994123866,5.147735457224617,4.8720420807944835,0,0,126,9,53,51,-2.3307063862012107,-2.378092241693108,0.6930281821155357,0.6937818304693424,0.5673259663592931,0.782167068056907,-0.2319204839311039,0.338879144032283,0.8288632098968016,-0.11506967352851649,-0.05833596079905789,0.953975181415623,0.8560588931362677
17,01139800,0.5869196601121764,-0.09890549706723115,0.8879249850428631,0.25341643812617076,0.3473829467952413,5.385098980707054,4.87117593863231,0,0,213,0,28,30,-2.4395912000079885,-2.2810098292318797,0.759612775422436,0.7256747259992956,0.45440406942543254,0.6534236772405858,-0.2918842432659187,0.7169721604964732,0.7338268252009872,-0.1771453386401859,-0.09890549706723119,0.8702961378803614,0.7797613733814449
18,01142500,0.729151166059387,0.0070859704118152,0.968272812378623,0.21178010427096441,0.3321329211089061,5.701177248104458,6.031836162122146,0,0,279,6,72,69,-2.3336614507389046,-2.3880143999466545,0.7149209600168933,0.6785964571161662,0.5519375817652101,0.7771922696031206,-0.17411136575738317,0.9188692155376746,0.8569328207614191,0.011491858849243164,0.00708597041181506,0.901074107422168,0.8606752270260415
19,01144000,0.827915304998081,-0.04627914489173295,0.9156575938260932,0.2565967718104649,0.3365117911349752,6.272821569675551,6.119443224010567,0,0,213,3,68,70,-2.4750339484375217,-2.3745498987784375,0.6963992217476825,0.6820984185630534,0.6617195953482087,0.8651414219425126,-0.16482206955050793,0.5465816123304943,0.8687502803719254,-0.07106417905653989,-0.04627914489173295,0.9174382282117801,0.9107190492247427
20,01162500,0.8055096811560143,-0.08334763459384363,0.8459303519376266,0.08281205372295863,0.31209119123134593,6.396016201475138,5.000282925572717,0,0,810,0,97,55,-3.0012081637962242,-2.2360489343532968,0.6543646032084611,0.7082267245049204,0.6404163646624338,0.847513035111093,-0.2016944166517757,3.1937214926274167,0.7990731495654635,-0.14399558231477358,-0.08334763459384359,0.659009092508105,0.9015758435185238
21,01169000,0.7827467089227456,0.019435677399935136,0.9314232107929047,0.21236676960135936,0.27054319877829636,7.592111648219004,7.481719363630249,0,0,373,295,109,80,-2.5778746733920523,-2.614686050460475,0.6414883171548847,0.6246134748980484,0.6036055291544282,0.8188174569133362,-0.1728555131473687,0.5081104500279319,0.8655434978870815,0.02350163807141344,0.019435677399935226,0.930516488229428,0.8859910995294994
22,01170100,0.7361775365857725,0.019992171210989552,0.9996597127543122,0.2008763923979331,0.2979676439918431,7.350249448063555,7.027781953700163,0,0,442,190,84,65,-2.659752891372202,-2.422204719169294,0.6682098302572846,0.6474991437444789,0.5723720593482158,0.7945389216597238,-0.1395439775627708,0.7195219901147876,0.8666496522799794,0.02478990934387199,0.01999217121098959,0.8846797030016464,0.8681572431571938
23,01181000,0.8017972427429914,0.11824600219880027,0.9762616453450196,0.15080301446898714,0.2989741753701116,7.375774145367944,7.665122897952031,0,0,583,217,133,88,-2.6127985596185117,-2.5175803066742497,0.6181111405922229,0.6150830799787463,0.6221255215541599,0.8367074385883353,-0.0624729116502944,1.3305076987843163,0.844289878918707,0.1444722217169867,0.11824600219880026,0.8443295548116783,0.9015113443617663
24,01187300,0.727913000017837,0.0775680831952437,1.0114832718888167,0.06173574054790265,0.19185269379546152,7.201714114489794,7.43273332432168,0,0,836,577,157,116,-3.0865743827914507,-2.913945562514471,0.5662461956589994,0.5811660898342734,0.6088729261165452,0.8265799581440659,-0.1089791217545864,2.393544150333274,0.8451719457101581,0.09988943177049445,0.07756808319524378,0.7999678363838152,0.8664969913023624
25,01333000,0.714889346355503,-0.07407055526208767,0.8094492438194938,0.2440223396922685,0.3364701885293131,6.891413203047004,5.870905574418715,0,0,364,67,64,33,-2.523967131245625,-2.212198683024243,0.6791881442608422,0.6906219266671646,0.5926662073768398,0.7994096008383538,-0.3407739101978626,0.5836111739636427,0.7456492523626829,-0.0979530102446779,-0.07407055526208751,0.8498865025675224,0.8486782732524325
26,01350000,0.7855919194605075,0.03274893241262759,0.8964659421004187,0.11164936187870755,0.2521462057451692,7.681874700470883,7.9645628235004535,0,0,707,260,165,132,-3.0880202977654143,-2.624448216002061,0.5929918320752795,0.5965716786889724,0.612141183163313,0.8262908722344255,-0.23266816717980787,1.7073191666359109,0.8429820604071796,0.039841493212620725,0.032748932412627475,0.8159728881920622,0.8865855404516078
27,01350140,0.6616263453908326,0.09603654886027725,0.8754199433744202,0.039668050727992066,0.2147494490687479,5.425184384761543,6.077168603676725,0,0,968,158,151,136,-3.2768803460628146,-2.741321919097255,0.5913678218647155,0.6119478774494146,0.5124018372621295,0.7475737104775118,-0.31426821083979717,5.450541137907208,0.7587931757093462,0.18788878289205516,0.09603654886027724,0.6955605783207223,0.8171407020177611
28,01365000,0.7677863635951251,-0.040927154064149644,0.8722328113385472,0.29609359323934803,0.4206643245206069,8.512690736188574,7.889249523314661,0,0,436,81,75,55,-2.338238892981165,-2.1294287874250335,0.6800569992098919,0.6648726187048923,0.5858015874669951,0.806381331992909,-0.2483249577555811,0.7535773571191988,0.8178359985807226,-0.04016332900701112,-0.04092715406414964,0.8781381830308327,0.8767756640316509
29,01411300,0.566328854699894,-0.10102027806952892,0.8037609906754765,0.3375114904612948,0.32031860742813323,3.2830660572008203,2.8573177314177283,0,0,22,0,22,13,-1.6769248092785036,-2.1737214637962405,0.7891493199699727,0.7668706683465873,0.5254819614217696,0.7082443531253225,-0.3264748217773353,0.10803303752371032,0.6743441398743295,-0.4743541585030271,-0.10102027806952896,0.9924270401825037,0.7605487651477344
30,01413500,0.7474926075236885,-0.0019403028840648316,0.7910458534992918,0.15277052661197704,0.3753045385557419,6.029652800344229,5.795080729068982,0,0,577,12,85,32,-2.7673000187845855,-2.1075355806449134,0.6705373127027879,0.7001790055000496,0.5886939541561912,0.807603044421286,-0.3200810047997708,1.7061661344773371,0.752834353951435,-0.0027751460231316694,-0.0019403028840646584,0.7454385305215501,0.8679952407241195
31,01414500,0.6706561210780282,-0.032289379582703275,0.8129005645345232,0.19125653920398,0.3754136407544929,6.675226729050264,6.4017330681160765,0,0,470,65,81,37,-2.750172763256702,-2.126237663659758,0.6610339475007222,0.6777927346041182,0.5534083257151831,0.7730050953653994,-0.35501332848078404,1.224248451438077,0.7378831667894838,-0.040228470137746136,-0.03228937958270312,0.791383767635194,0.8192890942223642
32,01415000,0.6672434048647657,0.010924076746303739,0.9151201379997752,0.11101281986866951,0.2846507001471745,5.721429070330486,5.795055582797149,0,0,623,81,88,55,-2.776638735998844,-2.32153630534086,0.6348351656169274,0.6616146535543391,0.5528682446015469,0.779989911992083,-0.26013267689123537,1.794435648914761,0.8026377200984082,0.0175154195547938,0.01092407674630379,0.7708522304360843,0.8221575329061758
33,01423000,0.7746516267615945,-0.04617836640037134,0.8200957318149584,0.10816636559266102,0.3069873405781139,5.949147572743807,5.467283629292316,0,0,649,25,86,38,-2.8106600535029598,-2.3015424733144996,0.6536176789435032,0.682124583650086,0.5975600122309406,0.8232386167469485,-0.30227176442454884,1.9802360029325343,0.7804691309684036,-0.07287020760985112,-0.0461783664003713,0.7493404175174119,0.8829708787388131
34,01435000,0.7840837250304518,-0.10401402516612468,0.8214211062382999,0.4115005067436195,0.3715401967501902,9.123959014763946,8.382325074646745,0,0,184,186,84,72,-2.020486085238237,-2.183859387104979,0.6618859201197091,0.6324498113857587,0.6060641099931217,0.8254765079868116,-0.27989537879662185,0.12228676244204593,0.7663789704191586,-0.09833837445131273,-0.10401402516612458,0.9930867802722868,0.891053009522977
35,01439500,0.8057036948336498,-0.08768795648684737,0.7919238251767211,0.1130807982807136,0.37364132006564166,5.853141137581917,4.989089594106197,0,0,706,1,49,21,-2.498433930475876,-2.063557182769249,0.7181476034900126,0.7328579607987867,0.6162606142578613,0.8331024101981109,-0.2624852335706734,2.5894171703671605,0.7562905537472948,-0.12785519319179675,-0.08768795648684766,0.6922715361063686,0.9082970995503781
36,01440000,0.8059422501440762,-0.04911030701450776,0.8496190728064891,0.16242733229560158,0.2820489413475682,5.222040422154375,4.879292805207477,0,0,565,36,56,61,-2.6020050510489887,-2.469128755202429,0.698587109610736,0.6879622550808896,0.6409797394792769,0.8623640723968167,-0.22539512721828242,0.9627073629137157,0.8127808997683661,-0.08632609317278414,-0.049110307014507866,0.8669847449200407,0.8998763465863169
37,01440400,0.8254513104455782,-0.016719267116945928,0.898294778730078,0.20076556733390816,0.2848443577651443,6.352794923381958,6.193339713246262,0,0,554,212,66,65,-2.567569254910801,-2.4550461708427274,0.6904777844136595,0.6691229191990451,0.6462385173883789,0.8613115606774306,-0.1552922208426398,0.7400935205124665,0.862294767548927,-0.02209498534929285,-0.01671926711694608,0.8948150815642391,0.9086805326454842
38,01451800,0.6813052582080615,-0.011847624728002812,1.057677173306906,0.11768327893669617,0.19075856632979443,5.8422594340975715,5.807613380354079,0,2,531,247,130,129,-3.020695640359672,-2.660580777223534,0.6062207721521166,0.5754426401197715,0.603273592733095,0.8212431808974308,-0.07387700526948893,0.8936822219023481,0.839732575135765,-0.021068443756263776,-0.011847624728002703,0.9108880042239039,0.850940867638904
39,01466500,-1.872277390002949,0.403540013906831,2.150512174252185,0.3418201658793165,0.26929440769866814,1.528137087385544,2.7006380248335744,0,0,0,4,8,21,-1.0808334171085445,-2.1325157818102394,0.8981618866301978,0.741556320195713,-0.4222669495692275,-0.6410312206529707,0.4845028078739087,0.1311041959479571,-0.2471020317781889,-1.3531065542387009,0.40354001390683086,1.553509672592946,0.7378155768569176
40,01484100,0.5519848994451675,-0.10770910913518156,0.792177985435901,0.16272070546703588,0.28130966471921254,3.129245080982857,2.907439263161041,0,0,314,0,42,35,-2.1004458807891075,-2.2937880812585254,0.7865061085277795,0.7247024910630777,0.47255535956255024,0.6906531600128853,-0.3840609160116083,1.2298094463264087,0.6571286661070376,-0.5027573928957938,-0.10770910913518147,0.7830039904403567,0.7494615604795059
41,01485500,0.5475935785699539,0.08630930317753205,0.7125948167289827,0.03578074818985466,0.3230695479976467,4.588351671440281,3.4065029703051284,0,0,989,0,248,46,-4.005320957390502,-2.1294399227704455,0.5848709186224602,0.7053497412923776,0.4127878851506389,0.630829472333744,-0.47303077967086654,8.799455161012618,0.6043450844235654,0.4477677399109571,0.08630930317753192,0.5115720327357228,0.7421400049760386
42,01486000,0.6410972012426469,0.03176248337731186,0.7885505713541708,0.06762885252576503,0.23457871023194451,4.1345152570607375,3.552700283887821,0,0,815,13,142,68,-3.3291280090279955,-2.502124047269149,0.624684408956729,0.6511527344562417,0.5273049855611999,0.7232898945225759,-0.3328943187426499,3.9521576285011517,0.707878496387818,0.17409247440342532,0.03176248337731204,0.6772595010045799,0.8009641825004845
43,01487000,0.6842484999659713,-0.1462240830752975,0.8071365389404779,0.26320522933195134,0.36128276998736747,3.28379840996309,2.873323106607203,0,0,38,2,18,15,-2.2327947249999704,-1.981979733233451,0.8293435588882336,0.773662768750724,0.5288977028699624,0.7564552306939772,-0.3170789908949274,0.523346254580294,0.7112909258389328,-0.5025182417059589,-0.1462240830752975,0.832441036808459,0.842598816968006
44,01491000,0.6052139817711332,-0.1254655811114113,0.6728209471546948,0.09199422352565545,0.2246654676640624,4.426179022093351,3.353909272715972,0,0,622,26,114,63,-3.044192131948226,-2.541173441534988,0.6548782057759936,0.6793885632301268,0.5370826034572005,0.750726726048486,-0.4381226021042774,1.7869304681052232,0.5916045465259436,-0.46180938907627916,-0.12546558111141137,0.7183290207086968,0.7902403714870162
45,01510000,0.7784048349071897,-0.09537245639959863,0.8101218887416044,0.12857578408419856,0.2625366387873167,6.366429949202536,5.366189265128689,0,0,573,51,134,75,-3.014431307050164,-2.668067103038635,0.63780711009475,0.6512051216857393,0.6166407305526318,0.835662087736539,-0.3008005562700895,1.24207919305843,0.7598508779223012,-0.15574362740350636,-0.09537245639959849,0.796175898762929,0.888098265161167
46,01516500,0.6812752426340738,0.29253695103043303,0.8030660785406973,0.017041590872798107,0.18955171270738608,3.330850778739357,3.801662719685111,0,0,996,37,241,79,-4.409962391869538,-2.6747171686174083,0.5649125396648311,0.6486128026876168,0.4433523098479072,0.6824794670472392,-0.30129751835259616,9.955045040435259,0.6110902020367963,-4.759364571153231,0.2925369510304329,0.5734766281485671,0.8360183125703995
47,01532000,0.8039241499716547,0.10554905719853555,0.81826930075754,0.040878161051843165,0.18718083945783193,4.527362888837933,4.328321117055818,0,0,824,166,212,75,-3.431396113047829,-2.8050816597558264,0.5794817186135031,0.6377026106821102,0.6200310248046215,0.8310303495723277,-0.24627691470488405,4.057405536117967,0.7681988797748731,0.4008113638045535,0.10554905719853556,0.6931141894541043,0.9021986256999904
48,01539000,0.818759079954039,-0.07806926256438652,0.7437094013182767,0.11726676680523407,0.21905629900569557,5.139042710779714,4.436061917388596,0,0,615,203,83,47,-2.8526892883385586,-2.675324596942369,0.6504265094255113,0.6734260589609976,0.6651726461734548,0.8734384285176804,-0.28001886972323603,1.112812281564829,0.7214589670343003,-0.15167083988633903,-0.07806926256438654,0.8325385144808577,0.9238066517626656
49,01542810,0.6907585571978414,0.009290797765849257,0.6611835069298955,0.03967690809178359,0.23763285888719984,5.771188443911361,4.656854015325307,0,0,969,52,255,64,-4.153169511838856,-2.6320306236356146,0.5211702403628062,0.6416344766831997,0.5362929619534058,0.7634390348133946,-0.4464656970510621,5.201530508528058,0.6305417996171314,0.022244040436061048,0.009290797765849238,0.6229764850201944,0.8529747405011717
50,01543000,0.7540608369139808,-0.04358899445150265,0.6832789780893698,0.0590644892483545,0.27507395639089427,5.720571180638954,4.512867975018136,0,0,910,12,182,47,-3.640173410526715,-2.5091262414371194,0.5860219624867006,0.6808741831044642,0.6123403398941316,0.8272823532571669,-0.40252346639679637,4.095742638491104,0.6631724624844031,-0.09875988748019963,-0.04358899445150251,0.6277166185722974,0.8939783801698267
51,01543500,0.7606592472889986,-0.08254870175439727,0.6686478244760691,0.05932318908104439,0.263764588057877,5.45359390384948,4.131908232450332,0,0,983,14,130,31,-3.431034600650837,-2.5425568325411274,0.6207211495180023,0.7031873048709628,0.6277194331314979,0.8405613058792514,-0.4134139106608272,3.7416974854052945,0.6456570740107443,-0.19541864816046417,-0.08254870175439735,0.6313851036932295,0.9053936745621696
52,01544500,0.7198716071372357,-0.11942469016413931,0.6660796849567786,0.07643637204257736,0.2717811341864484,5.257783211965196,4.050833206316548,0,0,886,0,107,39,-3.2992723214943247,-2.349510997047744,0.6349192778515608,0.7020632296720021,0.5862637012670346,0.8076086051730004,-0.4068290721494664,2.884639952692073,0.6250326406002656,-0.28593167583864515,-0.11942469016413926,0.6518147951734393,0.8781989852429601
53,01545600,0.7382521565270648,-0.019136827607849523,0.7606058480084985,0.06341129453733219,0.2854381791973832,4.84073250957792,3.9394957870029397,0,0,926,1,89,23,-3.2828632384063066,-2.307146928085675,0.6705754312970907,0.7220494518543029,0.5753827257526329,0.7994877773814054,-0.3579863527969498,4.07855405499211,0.7248544543683212,-0.05426643611358196,-0.019136827607849512,0.6211574239617879,0.8657267967823379
54,01547700,0.6801485006445733,-0.005857382660936009,0.6938885810832472,0.03428687817478182,0.1650651902534896,4.628728288333574,3.944065787057798,0,0,1094,117,241,89,-4.464561935621296,-3.1030493782207027,0.5843725280403108,0.6512216847555854,0.5788340834622725,0.7946517572396895,-0.3909964772187025,5.336496464251407,0.6531693479085298,-0.024720711904111913,-0.005857382660935892,0.6598593529596906,0.8370491132048367
55,01548500,0.7601365434229983,-0.05372992292751468,0.6974674695195766,0.08761890184593457,0.2701359328704994,4.6625752998464485,3.859275496475024,0,0,725,0,129,34,-3.5342524950664536,-2.2910063221134522,0.643598803909868,0.7130919599235713,0.621542057037034,0.830195414788493,-0.3698071917476368,2.4706725298995558,0.6751591579109846,-0.18399525500021746,-0.053729922927514655,0.6671677749341489,0.8946020110608571
56,01549500,0.7166565865006026,-0.1736064869989333,0.6294492383165691,0.057654440139405905,0.19837734661331843,4.512089337129235,3.400766466240596,0,0,965,10,140,71,-3.3916107525659505,-2.6837362230449577,0.6260569616525992,0.6704037418115916,0.6027470886415274,0.8148007064940976,-0.42412289688599586,2.956619221321783,0.5768525788340342,-0.5889550895272205,-0.17360648699893358,0.668423586882429,0.8922657866454414
57,01550000,0.7465779335635385,-0.1534747545921886,0.6863104000175825,0.09286440550985109,0.22940325535362258,4.981903139589004,3.9812705063657217,0,0,744,17,101,54,-3.2185211769320987,-2.605828708231867,0.6492677193265054,0.6782650748040135,0.6186381916462216,0.8313108561793046,-0.3788181317677986,1.7427576253400339,0.6350594726873815,-0.36280327832985326,-0.15347475459218862,0.7421348419447589,0.8940475434878908
58,01552000,0.8094477557925673,-0.07366719040782484,0.8125999251720294,0.11296932511689906,0.23813266804412278,4.90982148098753,4.320059573004275,0,0,629,66,71,51,-2.81992937385993,-2.3405880923767968,0.6544252991111207,0.6736822820972984,0.6565222929170769,0.8633048651130919,-0.2421222382285535,1.4592269698909344,0.7777479787131486,-0.15930155622961284,-0.07366719040782475,0.7951470571056681,0.9059238713701541
