,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev
0,01013500,0.7118063656886884,-0.08832613969289235,0.6862053957853664,0.23598741453382988,0.5464311131619453,6.332147889904208,4.386766302413846,0,0,147,1,90,21,-2.4068963419104827,-1.557472949694439,0.7963719850919421,0.7943490516821448,0.5115271042609613,0.7323661642564991,-0.3423915179267849,1.6329199384534037,0.6474196904453624,-0.17599793843417944,-0.08832613969289244,0.6616158018586563
1,01022500,0.731538507922462,-0.1324977635196737,0.7993910991342714,0.19983057537075055,0.30714058917420106,7.202226480580158,6.0115266590148355,0,0,487,44,74,39,-3.0610266412340246,-2.5017607710339966,0.674291834163336,0.7290471499539011,0.6022595756394556,0.8158088023884362,-0.3157139848167229,0.7668018351581908,0.7241725255777536,-0.1831910255910489,-0.13249776351967393,0.8379434897268426
2,01030500,0.7592111900932896,0.05693921548652932,0.8412041455807407,0.11929531914674296,0.410109236326075,7.397641529146213,6.245747028137574,0,0,533,1,224,34,-3.5745870843011884,-2.1369624074104094,0.7027081615395716,0.7466926188654396,0.5719746044884408,0.7774876883744899,-0.2529280285451545,3.186647001389359,0.7888696610918379,0.0902657675232694,0.05693921548652934,0.6538496276800536
3,01031500,0.7944314272374562,0.08036928417822355,0.8278952917269854,0.10147992006315709,0.33335464322065456,8.265858928449637,7.292113147065249,0,0,574,47,291,107,-3.4247591646864337,-2.5126838050266698,0.6055002506977367,0.6749614215338108,0.6145635091807663,0.8175338493907165,-0.26292575946332297,2.773164997967328,0.7830458173116982,0.10764904362008626,0.08036928417822357,0.7065278567965265
4,01047000,0.8073603990299034,0.12956830192190533,0.8857295968143432,0.19543159804870847,0.41034558211685457,8.192062376201514,7.73696780570038,0,0,271,35,228,88,-2.9114848541186618,-2.440596507575874,0.6095401429757682,0.6785141909936881,0.6187744620628238,0.8292418365607406,-0.20195771606021007,1.3662719852330663,0.8016067855454175,0.155134605679616,0.12956830192190527,0.7939894415111733
5,01052500,0.7864808656762318,0.12918968599848624,0.7890837505970071,0.2943899171198809,0.5530961551958968,8.62030887283448,8.065123153437419,0,0,120,8,205,50,-2.5272866079368295,-2.3758014570232753,0.6011269057665339,0.6949632149229338,0.5481675503084197,0.7834977708476831,-0.2971434925383332,1.2652191411166942,0.7320836966799792,0.14227096155544003,0.1291896859984862,0.8059385680634238
6,01054200,0.716345266956244,0.14010964144096646,0.7829609688766043,0.2763132690110996,0.5809755934659145,10.328141213046054,9.884586253729033,0,0,194,54,234,69,-2.850167594464254,-2.2767433937592463,0.5728778205075779,0.6513062656843235,0.5160453865096113,0.7477093074965333,-0.3335165228205258,1.5337430250357185,0.7025470322819114,0.12686819861784995,0.14010964144096635,0.7778495422946424
7,01055000,0.7376647413605916,0.09550708969590564,0.7633902391858163,0.1950531077715707,0.421566031158736,8.728624192027453,8.075370669674296,0,0,267,43,246,69,-2.832930879238089,-2.5565515829043264,0.578183167969738,0.6822619102705697,0.5671340740860062,0.7800265085497188,-0.34339746039060637,1.6004455850778192,0.7121750804680569,0.10912786700550707,0.09550708969590581,0.7717262291343631
8,01057000,0.7741028172511588,0.14134440915147267,0.9741435991692762,0.0912887669046547,0.28322295791396906,7.534540943907109,7.34828369659165,0,0,610,155,197,95,-3.047036148388413,-2.698859232009877,0.6222132629877803,0.6688007273698284,0.6086705517343913,0.8237326334283908,-0.17051387479565872,2.25520453664517,0.8182688169687217,0.19874900079997596,0.14134440915147264,0.7768963753801194
9,01073000,0.8072845323543328,0.16241020457639102,1.0651573742342568,0.062481487372491484,0.2481864024438997,6.220810373375614,6.269355229554092,0,0,928,255,138,80,-3.4428795893838076,-2.743750027201498,0.6194388081138175,0.6360925978313541,0.6153085497436228,0.8257120597886347,0.010204984725025916,3.6956826354723677,0.8054969105861076,0.252023955415227,0.16241020457639113,0.6969905363752172
