,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev,r_coeff,bias_std
0,01013500,0.7191461284647228,-0.13833180333701042,0.8663870893397462,0.23598741453382988,0.36641797921896174,6.332147889904208,5.151787873985821,0,0,147,0,90,113,-2.4068963419104827,-1.6918183893277066,0.7963719850919421,0.7341169033589112,0.5180838857395553,0.7200962147704295,-0.1964733687603679,1.000290394544165,0.7596357761592375,-0.2833634106840048,-0.13833180333701048,0.8104435543602152,0.8558235026330648,-0.11477639063678925
1,01022500,0.7560583098380282,-0.22056330549373637,0.7687269702746152,0.19983057537075055,0.29743024504712234,7.202226480580158,5.415811724928599,0,0,487,6,74,79,-3.0610266412340246,-2.351896654274417,0.674291834163336,0.7081076579261695,0.5954921152772796,0.8079140628966781,-0.28869496407708384,0.7000530039366872,0.6644827454868726,-0.32115618303911897,-0.22056330549373665,0.8218583930898604,0.8978410940380392,-0.18271139013787305
2,01030500,0.7242824783037694,-0.10334877849142415,0.8221640317737151,0.11929531914674296,0.30831602480909964,7.397641529146213,5.810946220020119,0,0,533,4,224,107,-3.5745870843011884,-2.1810264512541204,0.7027081615395716,0.715893808622268,0.5805315833324065,0.7794168950461563,-0.2668598255769426,2.175160324659094,0.7486438613613622,-0.17781580158476662,-0.10334877849142418,0.7036627303427135,0.8555240268394898,-0.08077586182926261
3,01031500,0.814424382408025,-0.02971584980377065,0.8015077850579531,0.10147992006315709,0.2678982927351962,8.265858928449637,6.9022342335893825,0,0,574,70,291,148,-3.4247591646864337,-2.389899351050413,0.6055002506977367,0.6597904212533503,0.6516263569166048,0.8476684738838872,-0.2814905575181148,2.07485396883148,0.7796350012431373,-0.04200843843780295,-0.02971584980377064,0.7344706148648243,0.9090135089425245,-0.017989836306939053
4,01047000,0.829633985170871,-0.009939808670665008,0.8574952192163291,0.19543159804870847,0.3972370374599537,8.192062376201514,7.266131231561775,0,0,271,9,228,129,-2.9114848541186618,-2.364544944627918,0.6095401429757682,0.6666344372796741,0.6816362684763146,0.8714780834114166,-0.2249257641506334,1.2076552535812484,0.8324940264958154,-0.012719796497991296,-0.009939808670665146,0.7946739676113871,0.9125252103919475,-0.006321932110744348
5,01052500,0.7813706497155736,0.016675994497348173,0.7751468055902273,0.2943899171198809,0.4860482809093568,8.62030887283448,7.9244038979256635,0,0,120,17,205,95,-2.5272866079368295,-2.218404411576261,0.6011269057665339,0.6694127891990427,0.6116777911256661,0.8188132180091608,-0.305198890290809,0.9374421916196163,0.7498500349582919,0.019365757293731748,0.01667599449734809,0.8232667272037115,0.8916581466763045,0.010425322232861668
6,01054200,0.685678882356359,0.025139894020848545,0.6954906106173189,0.2763132690110996,0.5882301396423606,10.328141213046054,9.166705737988703,0,0,194,17,234,76,-2.850167594464254,-2.315921841166773,0.5728778205075779,0.6663714920340349,0.5635690479453827,0.7716704011614005,-0.4209944694488701,1.4056100492999979,0.6554778480874885,0.024023145123731604,0.025139894020848545,0.7660350471432337,0.8408223298799895,0.013489421725219197
7,01055000,0.7193304918065334,0.002356707643664021,0.7573287632705855,0.1950531077715707,0.41689569850540403,8.728624192027453,7.9030070886029735,0,0,267,5,246,126,-2.832930879238089,-2.466392655409063,0.578183167969738,0.6678021637306093,0.6052520001523747,0.8038381747532904,-0.36052592018972884,1.4383564661487585,0.7165672512462715,0.0028161297922209014,0.0023567076436642447,0.7739154868739441,0.8535785539635913,0.001354038215121862
8,01057000,0.8026877567840889,0.020913279848207,0.8317017389001771,0.0912887669046547,0.3543868842598085,7.534540943907109,6.441538196015703,0,0,610,5,197,82,-3.047036148388413,-2.341129492747239,0.6222132629877803,0.6888883619062728,0.6370000957322226,0.8436191804142354,-0.2796845781293727,2.8794738026617037,0.8023641324156082,0.03111507759323403,0.02091327984820701,0.6952890560799707,0.898519626564534,0.013605031347032545
9,01073000,0.8449127677105681,0.019774234816214847,0.890651553389051,0.062481487372491484,0.28697840184949275,6.220810373375614,5.496546204327516,0,0,928,35,138,77,-3.4428795893838076,-2.426177282576357,0.6194388081138175,0.6658852561755573,0.6504658115134692,0.8534940632232272,-0.1418409590303111,4.2267335173513185,0.8629077227278497,0.032791306217995114,0.01977423481621489,0.6428433972082908,0.9197118355617107,0.010609954880878144
10,01078000,0.783056423339846,-0.0582875460066667,0.8217523352450854,0.14318665375801087,0.35271335153159794,6.762816983550806,5.05012476175057,0,0,507,0,149,57,-2.8556457298943503,-2.044978128488513,0.6312544441214634,0.7055600336528803,0.6182653784918202,0.8261422476508142,-0.27246161088043613,1.8681908936508276,0.7817191220106167,-0.10186401846925974,-0.0582875460066666,0.7044500837572164,0.8883000730270769,-0.03989598117054232
11,01118300,0.835369269717847,-0.12918363893321402,0.8382597217924513,0.06817396385798236,0.34278876586718954,6.817395195100765,5.457024352744672,0,0,986,3,70,59,-3.7090252000439015,-2.443196291924152,0.6568266025888818,0.6956361162608927,0.6426198921663557,0.8501390778303309,-0.23211940707760123,4.536854046576284,0.7789374182879256,-0.17135878773418384,-0.129183638933214,0.5908863249530425,0.9224091830786317,-0.09157886665932076
12,01121000,0.7643241573634978,-0.11827068018123185,0.776155423537955,0.05947754484760526,0.28280277861786407,5.7709737284510485,5.075128762181908,0,0,858,6,105,68,-3.2724851183906187,-2.458437023196225,0.6328328340460854,0.6877192245092457,0.6060878791850484,0.811910083413702,-0.36138691475709894,4.112562094357238,0.7216064056215902,-0.20435317571760198,-0.11827068018123185,0.6387038767521545,0.8842042954642659,-0.07627190047497379
13,01123000,0.745868561825874,-0.07233742769145636,0.892521426807424,0.21420726498724707,0.2802461667196444,5.060646637531292,4.903265624865216,0,0,267,2,78,75,-2.8053619950274298,-2.5636197910543954,0.680707649852354,0.6995602838104723,0.6140510376235928,0.8227915284997103,-0.2789837724764794,0.4723080646538359,0.8132865062516728,-0.13470628374978108,-0.07233742769145633,0.907842595786605,0.8655471026449113,-0.05074560432350012
14,01134500,0.7080340908795283,-0.0486096985778838,0.8067690388772211,0.2513383061507559,0.43438405293306875,7.238543400391274,6.274059731918627,0,0,216,7,125,62,-2.530658698850601,-2.0959289052716534,0.6118858571367842,0.6757543694716164,0.5560431004153822,0.7647260551359917,-0.3228527829356656,0.8902700827834833,0.7463252296468219,-0.06745575437153759,-0.04860969857788376,0.7887603948127553,0.8429975096328979,-0.036027198093976504
15,01137500,0.775106023800568,-0.04961357048151937,0.8126836781500841,0.5108135794371348,0.6720505475397622,8.007959866256606,6.854798700116242,0,0,40,0,111,48,-2.3654740962275995,-2.043824107552607,0.6582117126354505,0.6952066892048007,0.6262762002186151,0.834118948104845,-0.29391652214897945,0.5463010680421532,0.7742308767410481,-0.05495905919245138,-0.04961357048151916,0.859357912271284,0.8841432513411072,-0.03868471387869697
16,01139000,0.7537179603938711,-0.0922711144248223,0.8671730682522175,0.2785155066953946,0.3556381124646873,5.147735457224617,4.677050730166308,0,0,126,0,53,54,-2.3307063862012107,-2.0293513485443224,0.6930281821155357,0.704566376060803,0.598517768529479,0.8090063493414033,-0.2541489880781971,0.5373060421443674,0.793830811969035,-0.18533438470505384,-0.09227111442482229,0.8668894092193807,0.8721376453422718,-0.08294663150340978
17,01139800,0.6074531822065949,-0.15011839263914903,0.8494087077372381,0.25341643812617076,0.36890873472710095,5.385098980707054,4.520870149533879,0,0,213,0,28,40,-2.4395912000079885,-1.9305536421691725,0.759612775422436,0.7217666214907417,0.46409851365813637,0.6750926400631431,-0.29174031118297294,0.7625152861015092,0.7046647026021555,-0.2766729800950057,-0.15011839263914892,0.8134165351830096,0.795037396642356,-0.14721032066051112
