,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev,r_coeff,bias_std
0,01013500,0.7362751325348154,-0.09215317553824712,0.8350075148660622,0.23598741453382988,0.43661323131549384,6.332147889904208,4.992458522128856,0,0,147,0,90,59,-2.4068963419104827,-1.6461020013149839,0.7963719850919421,0.7706892765593629,0.5262623481984767,0.7400728593188165,-0.21452976141923272,1.2795882987400309,0.7659260544311459,-0.18400418535595886,-0.09215317553824726,0.7520356440928104,0.861884526277049,-0.07646115078996156
1,01022500,0.7957061235833125,-0.15958300235028916,0.8351158164694692,0.19983057537075055,0.31072038186424294,7.202226480580158,5.921349573613184,0,0,487,2,74,76,-3.0610266412340246,-2.7366184866971133,0.674291834163336,0.7073494254365545,0.6322328199157644,0.840940685662895,-0.22455750979625536,0.7645841396457669,0.7514288947631443,-0.22407265705091012,-0.15958300235028938,0.8557254876561154,0.9044276936502534,-0.13219620614828345
2,01030500,0.730470465866538,0.04557841547833946,0.92370650017387,0.11929531914674296,0.3832522807903979,7.397641529146213,6.4372580855959205,0,0,533,0,224,75,-3.5745870843011884,-2.3234411570153894,0.7027081615395716,0.729591751259126,0.5779556352756944,0.7821602364811722,-0.1929002858133506,2.9960838098347473,0.8324335059815433,0.07265024264647256,0.04557841547833957,0.6907787853285726,0.8579421250179996,0.03562340885703427
3,01031500,0.8009099080521076,0.05943813735138981,0.9179227918418019,0.10147992006315709,0.25139131936333897,8.265858928449637,7.80294696208363,0,0,574,99,291,178,-3.4247591646864337,-2.858957563078542,0.6055002506977367,0.6407917606818984,0.6507544539512325,0.8421289428506206,-0.19724563721618413,2.045785012152256,0.8547404340848962,0.08040469044398336,0.05943813735138989,0.7852693172747306,0.895928960709535,0.035983569993854964
4,01047000,0.7959435345981651,0.07117105875474261,0.9786545845021086,0.19543159804870847,0.29801820387668093,8.192062376201514,8.19703619103279,0,0,271,74,228,165,-2.9114848541186618,-2.8582127099964154,0.6095401429757682,0.6376986264940211,0.6668292434386489,0.8599260789485942,-0.1425593589323749,0.7506450905936649,0.8730175868858362,0.08754336215929547,0.07117105875474261,0.908895452211323,0.8970262806671162,0.04526632419245325
5,01052500,0.7940743164511801,0.055700464539701025,0.8264399309910384,0.2943899171198809,0.4617234445006833,8.62030887283448,8.035513461555738,0,0,120,17,205,100,-2.5272866079368295,-2.3569158929111826,0.6011269057665339,0.6656484803005553,0.617985623744421,0.8322785431530566,-0.2656260447265125,0.8243388111156981,0.7893276635297676,0.06347084359769606,0.05570046453970106,0.8542726056639731,0.8943723802715747,0.03482222852968743
6,01054200,0.7269019326239308,0.053580656005787916,0.8564103932364978,0.2763132690110996,0.34690808407938706,10.328141213046054,10.504273456588182,0,0,194,152,234,165,-2.850167594464254,-2.8106833672972154,0.5728778205075779,0.6023399258494865,0.5987050337897456,0.8034780364037111,-0.2804198506382334,0.5616883260638824,0.787690478014158,0.05050030272333898,0.053580656005788006,0.9277537903319714,0.8530766483592586,0.028750004458116495
7,01055000,0.7464377770407645,-0.040172911691402746,0.7966356882855141,0.1950531077715707,0.2805379466457626,8.728624192027453,8.151630584412796,0,0,267,61,246,176,-2.832930879238089,-2.8843586040313904,0.578183167969738,0.6301341971870542,0.646177804841497,0.8343221395094533,-0.31984881564801754,0.7427254506675738,0.7537865396781727,-0.04905288949047494,-0.04017291169140274,0.8761537107613852,0.8671460880110177,-0.023081207288955505
8,01057000,0.7587542469068768,0.12887543417271496,1.0215329539075664,0.0912887669046547,0.2661824822973761,7.534540943907109,7.674446250893085,0,0,610,85,197,123,-3.047036148388413,-2.9004770875384156,0.6222132629877803,0.6508882369707614,0.6267911842660934,0.8365126726451582,-0.14875565152121978,2.0719231994275984,0.8263258735955756,0.18223515904123166,0.1288754341727148,0.8084858786950512,0.8855877779905101,0.08383927985033587
9,01073000,0.8163135302977267,0.15356371648795003,1.0270122429302142,0.062481487372491484,0.28135696790260734,6.220810373375614,6.286516701350783,0,0,928,58,138,83,-3.4428795893838076,-2.8489806959820623,0.6194388081138175,0.6472012510181074,0.6242039471474637,0.84187765076252,-0.012714846269353344,4.170491716092986,0.822046716544688,0.23923051573356724,0.15356371648795014,0.6890346091150087,0.9142334867048086,0.0823953047195073
