,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev
0,01013500,0.7989622904370559,-0.0601722056696219,0.8774053803175528,0.23598741453382988,0.44158868529915496,6.332147889904208,5.275120507833974,0,2,147,2,90,66,-2.4068963419104827,-1.7842262560131292,0.7963719850919421,0.7739434360105482,0.5775169201340584,0.78488893086746,-0.17045928538325658,1.3576151972301866,0.8279919672240144,-0.11811224142368518,-0.060172205669621975,0.865422821666646
1,01022500,0.8143893693406312,0.020116249831687628,0.8218341604296397,0.19983057537075055,0.43595235585877157,7.202226480580158,6.16523238148689,0,0,487,1,74,24,-3.0610266412340246,-2.386756384059467,0.674291834163336,0.7378681408286223,0.6308327139745916,0.8458533052287912,-0.22629701049192297,1.5516240794565284,0.7978134930089991,0.025669149616757037,0.020116249831687597,0.7544165926137895
2,01030500,0.7821741660497298,0.10158163685477403,0.8968907531584278,0.11929531914674296,0.3665461882096354,7.397641529146213,6.592438116271051,0,0,533,2,224,43,-3.5745870843011884,-2.499638027206633,0.7027081615395716,0.7382696679093648,0.593291399872166,0.795972849019674,-0.21242338638674657,2.896547454284468,0.8169901501311418,0.15769923940866912,0.1015816368547742,0.7041916491847258
3,01031500,0.8166058963621665,0.0794999481906199,0.8455787404821677,0.10147992006315709,0.28514312636732725,8.265858928449637,7.63609919629681,0,0,574,156,291,117,-3.4247591646864337,-2.6268334997623874,0.6055002506977367,0.6462735910121495,0.6274582693243036,0.8298431800579037,-0.2625303974963584,2.489645051762274,0.8029972707789389,0.10652804639251574,0.07949994819061999,0.7513349788318854
4,01047000,0.8195870355502224,0.15617376097034594,0.9125138844549513,0.19543159804870847,0.39823115502683515,8.192062376201514,8.261799317780762,0,0,271,80,228,91,-2.9114848541186618,-2.5960250194976373,0.6095401429757682,0.6580485037150753,0.6026762176790208,0.8199176451197128,-0.19138947516918056,1.434109727435726,0.79997419984031,0.1847779971760053,0.15617376097034602,0.828512180091623
5,01052500,0.7758402085896726,0.09392683538020596,0.8150774575707164,0.2943899171198809,0.43041616323671594,8.62030887283448,8.42533286866926,0,0,120,34,205,86,-2.5272866079368295,-2.6242997431986557,0.6011269057665339,0.6710934888436654,0.5698586141044546,0.7982637088339413,-0.2910500289773213,1.0541098349624305,0.7631256320789741,0.10512081004926208,0.09392683538020585,0.893791863594509
6,01054200,0.7401967339866476,0.11446603018180945,0.8881220110912929,0.2763132690110996,0.4282673883842327,10.328141213046054,10.963852791220186,0,0,194,112,234,137,-2.850167594464254,-2.7075380059660255,0.5728778205075779,0.5964104005376545,0.5665866031573232,0.7873632517386595,-0.25071313614895663,1.2278407696435847,0.7892534908465253,0.1048575805321382,0.11446603018180945,0.9027161866386337
7,01055000,0.7639341704266709,0.0457094222781001,0.7734314386964997,0.1950531077715707,0.38323276488548297,8.728624192027453,8.3129009492326,0,0,267,45,246,114,-2.832930879238089,-2.543553067464501,0.578183167969738,0.6442753771854455,0.6181290783740876,0.8256167395026817,-0.3342394874420938,1.4782682438282795,0.7400414776016502,0.05347148929392199,0.04570942227810027,0.8021690482916558
8,01057000,0.7939774780792688,0.18715842510532918,1.028097705266205,0.0912887669046547,0.27723303062920085,7.534540943907109,7.998010583939589,0,0,610,206,197,95,-3.047036148388413,-2.711672958977072,0.6222132629877803,0.6460832983943939,0.5999640281157498,0.826804690260815,-0.10963726482454278,2.2665507399752234,0.789304207125362,0.25791314076887367,0.18715842510532907,0.7866795862083139
9,01073000,0.7383109154958161,0.2394598183931468,1.1422740128357125,0.062481487372491484,0.2609089793723401,6.220810373375614,6.719252536618975,0,0,928,255,138,86,-3.4428795893838076,-2.64331125202303,0.6194388081138175,0.624585903747287,0.5473400164543938,0.7877317020082646,0.08247612014697218,3.867148753577858,0.7045728079154122,0.3595015614365849,0.23945981839314678,0.6968843300826857
10,01078000,0.756410105706496,0.22682258823442034,0.9614323072302129,0.14318665375801087,0.3607279209558109,6.762816983550806,6.458175754744135,0,0,507,52,149,33,-2.8556457298943503,-2.5349630299344628,0.6312544441214634,0.6997511892523828,0.5031961782045797,0.7520534476804049,-0.16684903030733814,2.0577249513268243,0.7435070888108661,0.34674396370863414,0.22682258823442017,0.7677081251773683
11,01118300,0.7953674907298303,-0.06827275955520595,0.9779233007342688,0.06817396385798236,0.22280889400256065,6.817395195100765,6.287358469560039,0,0,986,414,70,84,-3.7090252000439015,-2.8781908530242886,0.6568266025888818,0.6463076579309848,0.64633240778799,0.8615572413244208,-0.09527447670336481,2.8920240040081047,0.8743240309658631,-0.08760338963361941,-0.06827275955520577,0.7048239991281258
12,01121000,0.7743346873573362,0.06433335463898925,1.0567933754493812,0.05947754484760526,0.21730201709432206,5.7709737284510485,6.329568949618034,0,0,858,294,105,110,-3.2724851183906187,-2.5533125450187195,0.6328328340460854,0.6135754661928943,0.5915671726471018,0.8240029391073125,-0.07094563255101853,3.2885157598125128,0.864835160314759,0.10122449394757384,0.06433335463898934,0.7246077388237888
13,01123000,0.7243282287486609,-0.010423339364724601,1.0383284461343947,0.21420726498724707,0.2529065888233404,5.060646637531292,5.191088645228345,0,0,267,45,78,91,-2.8053619950274298,-2.6983413591395697,0.680707649852354,0.6565307477473471,0.6137829708547158,0.8278024791904547,-0.1352884812852727,0.29651003047126434,0.8621392178959949,-0.018797582531671273,-0.010423339364724622,0.9646472195164082
14,01134500,0.7441472445384006,0.10944309780354468,0.8161216224936819,0.2513383061507559,0.5328135212257036,7.238543400391274,6.60675989023204,0,0,216,12,125,27,-2.530658698850601,-1.9769559461583466,0.6118858571367842,0.6969538626378398,0.5153152376711457,0.7401775954044211,-0.29670101210858296,1.7889005287641435,0.7485764528593284,0.1405921452809041,0.10944309780354468,0.756243532045657
15,01137500,0.6894116169842313,0.21928950068789177,1.033525812118317,0.5108135794371348,0.58232944152144,8.007959866256606,9.357352927034958,0,0,40,4,111,46,-2.3654740962275995,-2.2569205144656674,0.6582117126354505,0.6830335572697815,0.4410134623037002,0.7030333236307678,-0.14925267324722233,0.8880570987867087,0.7400189261221941,0.214135704937901,0.21928950068789183,0.9731283837195936
16,01139000,0.7139533672103229,0.1703468668597438,0.8633027353743378,0.2785155066953946,0.5697559653504332,5.147735457224617,5.14069402583701,0,0,126,0,53,7,-2.3307063862012107,-1.7472708902304654,0.6930281821155357,0.7480732740532061,0.47760268740624245,0.7220972580519671,-0.26363496628912736,1.499957607574777,0.7398854234132897,0.3011390604105639,0.1703468668597439,0.7463129375688335
17,01139800,0.6132135978123388,0.07831119204793427,0.8625441200917235,0.25341643812617076,0.550487882993405,5.385098980707054,5.076874451370231,0,0,213,0,28,5,-2.4395912000079885,-1.8282651022573428,0.759612775422436,0.7634006851435654,0.4382537858438834,0.6480392500620422,-0.2851066829830067,1.6339696767278702,0.7372074933984666,0.12824476249615507,0.07831119204793444,0.7289503655304698
18,01142500,0.7148295229886068,0.19514683522429305,0.9321667325992197,0.21178010427096441,0.4574979256865015,5.701177248104458,6.451347872237218,0,0,279,39,72,14,-2.3336614507389046,-2.090883950793065,0.7149209600168933,0.7133526039384138,0.4934842182403293,0.7256355689650305,-0.199011930331226,1.7388585252359603,0.752164904613337,0.2901356396272721,0.19514683522429305,0.8087879049152057
19,01144000,0.8064654358252824,0.11547349392987408,0.868818295792816,0.2565967718104649,0.442861175227757,6.272821569675551,6.2828340417220545,0,0,213,57,68,12,-2.4750339484375217,-2.140127347670902,0.6963992217476825,0.7129616603235164,0.5992759828739513,0.822974103757256,-0.22914532737018162,1.0803525824712628,0.8005030344628626,0.16389031535709633,0.11547349392987394,0.838122070599842
20,01162500,0.813989534240146,0.05325554325856734,0.8422488868497774,0.08281205372295863,0.3413074379332538,6.396016201475138,5.520304370634514,0,0,810,7,97,26,-3.0012081637962242,-2.362695275447806,0.6543646032084611,0.7201273536152618,0.6358470136667378,0.8408127605766874,-0.2350280282365778,3.5707119568981986,0.8084912444337735,0.08585082850453685,0.053255543258567385,0.6486201743244304
21,01169000,0.7661934295587365,0.14180365664673888,0.8886702332961913,0.21236676960135936,0.4376312745662755,7.592111648219004,7.498386934779771,0,0,373,68,109,39,-2.5778746733920523,-2.1703528914732084,0.6414883171548847,0.663554228396892,0.5581859353362667,0.7893599443882808,-0.22692754396271306,1.3097093719622426,0.7837065065605178,0.16190438765730522,0.14180365664673872,0.8001952829061224
22,01170100,0.6960489733901654,0.15446761287658448,1.0304435725416938,0.2008763923979331,0.3851384699118695,7.350249448063555,7.403458159948068,0,0,442,147,84,44,-2.659752891372202,-2.2228929770780694,0.6682098302572846,0.6590207962204845,0.5231335864468054,0.7587928671747487,-0.12994613515336131,1.1798398917732704,0.7890030298394877,0.17988450493992866,0.15446761287658428,0.8264518486296902
23,01181000,0.733748293787869,0.2559399989786793,0.9978168514409154,0.15080301446898714,0.351745290276675,7.375774145367944,8.525530586773941,0,0,583,235,133,76,-2.6127985596185117,-2.2769544700555855,0.6181111405922229,0.6198478413667866,0.4996283876883666,0.7543948069395477,-0.06262254466801796,1.65420453524437,0.7169401089033733,0.2945825115300832,0.2559399989786793,0.8095244239649486
24,01187300,0.66397343966444,0.09691960216953112,1.0224097957308012,0.06173574054790265,0.18747199828831837,7.201714114489794,7.874249556130493,0,0,836,475,157,131,-3.0865743827914507,-2.4918321625521194,0.5662461956589994,0.5576105658978346,0.5686085745845056,0.8016362452088557,-0.14776937464545764,2.341994464823261,0.8093437964058598,0.12368846964240272,0.09691960216953144,0.7818833549465612
25,01333000,0.6991961481550728,0.13338273790319263,0.7628716011964789,0.2440223396922685,0.5887490265617364,6.891413203047004,6.358486017254563,0,0,364,8,64,2,-2.523967131245625,-1.7635485109182378,0.6791881442608422,0.7346466443333131,0.47756315441673136,0.7098945853415436,-0.36432953355004166,1.7682173063655833,0.688270639802709,0.15936611543097973,0.13338273790319263,0.6914053889941035
26,01350000,0.7672527890043328,0.15729676915736115,0.9196168828614929,0.11164936187870755,0.3884838746125798,7.681874700470883,8.33884300119818,0,0,707,62,165,105,-3.0880202977654143,-2.1567846236845405,0.5929918320752795,0.6107613640466164,0.5327960059107908,0.7642375781971915,-0.1995556841404406,2.8109149776425366,0.7871702568578939,0.18062004367854118,0.15729676915736102,0.7130890719049008
27,01350140,0.6602668047803686,0.15811942221028477,0.8987742534061188,0.039668050727992066,0.24698297294871333,5.425184384761543,6.402315882653557,0,0,968,171,151,126,-3.2768803460628146,-2.294697088737974,0.5913678218647155,0.5975090074280116,0.46892445374588143,0.7158999981719594,-0.27934753685215136,6.117686371413356,0.7404379535672685,0.30077909368223993,0.1581194222102848,0.6538584757310638
28,01365000,0.7005366403076294,0.1573236179616376,0.9140688301608256,0.29609359323934803,0.7539340329291402,8.512690736188574,9.12527560788323,0,0,436,0,75,36,-2.338238892981165,-1.8420500925232224,0.6800569992098919,0.6824571994013094,0.46682654771433396,0.7068073914429946,-0.21074006164089076,2.085808661696765,0.7648000118297205,0.140428685712436,0.15732361796163757,0.7438596733058813
29,01411300,0.5633277737796852,0.005999896273037171,0.8122501184104731,0.3375114904612948,0.3851757518522673,3.2830660572008203,3.0586905075106685,0,1,22,4,22,7,-1.6769248092785036,-2.0592688614504064,0.7891493199699727,0.7999902747698245,0.5173449789036884,0.6989378169444775,-0.33917512692235385,0.32606788693694316,0.6896196936998722,0.026645166146916838,0.005999896273037064,1.0161236665983728
30,01413500,0.7623788510697167,0.07614274778447551,0.8494375560916858,0.15277052661197704,0.456537782050675,6.029652800344229,6.4664416626676,0,0,577,1,85,36,-2.7673000187845855,-1.9114443959362257,0.6705373127027879,0.68701741495408,0.5463327579569208,0.773398146645772,-0.24155480417579653,2.2840464590964036,0.7901482903768303,0.10485539965022833,0.07614274778447555,0.7018857401003806
31,01414500,0.6376795078934319,0.08030108115865758,0.9209689311709357,0.19125653920398,0.5149563683131716,6.675226729050264,7.028141908323319,0,0,470,5,81,43,-2.750172763256702,-1.8885688788897352,0.6610339475007222,0.6679920646908222,0.49178355100802384,0.719341386836467,-0.25257945433846035,1.9452138446900382,0.7778060062291356,0.09466884941710164,0.08030108115865774,0.7315824088225026
32,01415000,0.6717064313853065,0.1509607416531465,0.9351758045159361,0.11101281986866951,0.44491806033173537,5.721429070330486,6.137383036650426,0,0,623,1,88,44,-2.776638735998844,-1.905866818284326,0.6348351656169274,0.6793730188067574,0.48125655018046565,0.7107695497302824,-0.20669436260015567,3.3473700477766393,0.7654481119477494,0.22665918738794102,0.1509607416531462,0.6614249568624655
33,01423000,0.7961351481165547,0.07075055731176397,0.8709468928931873,0.10816636559266102,0.387553862216139,5.949147572743807,6.177120130274654,0,0,649,9,86,43,-2.8106600535029598,-2.086975427262644,0.6536176789435032,0.6789983436999872,0.5647083896500519,0.8005366052502202,-0.2096033992000853,2.644769793866181,0.8185777186897967,0.10536263550650767,0.0707505573117639,0.6986076687789398
34,01435000,0.7621341715340162,0.026534011726054338,0.8899104320562907,0.4115005067436195,0.6350549923123772,9.123959014763946,9.369810441951099,0,0,184,5,84,65,-2.020486085238237,-1.9684919614205154,0.6618859201197091,0.6298297714798123,0.5708867467597493,0.8032738982622752,-0.21607902825794317,0.7993760911208887,0.8301044329244253,0.02344789298156079,0.026534011726054456,0.8819849605223854
35,01439500,0.796531444253118,0.07281967730471114,0.8285538203184205,0.1130807982807136,0.508068185521654,5.853141137581917,5.422606373418393,0,0,706,4,49,12,-2.498433930475876,-1.7847596093928395,0.7181476034900126,0.750869629058328,0.582401647649859,0.7966879496522217,-0.24375061799238099,3.805385124186503,0.7873175887558722,0.09792611081265533,0.07281967730471108,0.6161895231743618
36,01440000,0.8016727075661372,0.0008201235005063036,0.8156703277801555,0.16242733229560158,0.309819444844614,5.222040422154375,5.049014585713865,0,0,565,73,56,41,-2.6020050510489887,-2.05319497875098,0.698587109610736,0.6898231473220383,0.6240648828915818,0.8503427634938325,-0.252460644779098,1.036928971479535,0.7899341384935427,0.0014053407006430802,0.0008201235005062016,0.8122319558698463
37,01440400,0.817083208718804,0.07439984002568822,0.952761726193423,0.20076556733390816,0.3993667014698905,6.352794923381958,6.426480412929476,0,0,554,57,66,51,-2.567569254910801,-2.045390879180681,0.6904777844136595,0.6691555844085927,0.6050864226943466,0.8229393476656537,-0.11517206464573518,1.407810866985605,0.8716178072540921,0.0940407836854771,0.07439984002568809,0.7840910994098209
38,01451800,0.6634555763379236,0.10577322034441085,1.0323503002657863,0.11768327893669617,0.3302352093132583,5.8422594340975715,5.508342436024149,0,0,531,100,130,55,-3.020695640359672,-1.9616519699557677,0.6062207721521166,0.6331690427938917,0.5560651794954712,0.7834192972345709,-0.09757524772068048,2.2282603015880906,0.8051917660456157,0.17773602892389212,0.10577322034441088,0.6914120889969446
39,01466500,-0.7263984016674891,0.39205593627502566,1.7582856622266778,0.3418201658793165,0.3494673653386153,1.528137087385544,2.4290971803796495,0,2,0,5,8,12,-1.0808334171085445,-1.6830547709703407,0.8981618866301978,0.7967001272481883,-0.2382615313408467,-0.21289025982429322,0.341999770664653,0.39979696178961943,0.11983637524284108,-1.3203129239802085,0.3920559362750254,1.5123957688903769
40,01484100,0.48040953926713226,-0.09582789856876364,0.7383578022551154,0.16272070546703588,0.277042165241158,3.129245080982857,2.8997217988828874,0,1,314,7,42,24,-2.1004458807891075,-2.06143499497504,0.7865061085277795,0.751480695386662,0.4439789922748484,0.6462543816536235,-0.48211210800181103,1.2632425604259476,0.5896284335065749,-0.44440307462137707,-0.09582789856876378,0.8184279543161889
41,01485500,0.651826797311448,-0.09253644516204382,0.5879888832333534,0.03578074818985466,0.22170279829411188,4.588351671440281,3.090739274343111,0,6,989,13,248,48,-4.005320957390502,-2.3130233440083527,0.5848709186224602,0.71335376218997,0.5474920350216987,0.7475608040575351,-0.5089276762158114,5.534724724677776,0.5520529076919307,-0.5251986020214353,-0.09253644516204383,0.7027977856673739
42,01486000,0.6413403481564466,-0.07746095919049238,0.7778079082582945,0.06762885252576503,0.142621391923168,4.1345152570607375,3.4090800527052454,0,0,815,102,142,97,-3.3291280090279955,-2.7918888197126908,0.624684408956729,0.631161470643023,0.5764526042491651,0.7712102580138311,-0.33821554162278034,2.1288048913536906,0.6926622979843481,-0.44889624775893283,-0.0774609591904925,0.7777655515846921
43,01487000,0.7245588114521041,-0.09714738724599224,0.7691740811042513,0.26320522933195134,0.38773426619341117,3.28379840996309,2.9303034730232294,0,0,38,5,18,8,-2.2327947249999704,-1.8498014800872968,0.8293435588882336,0.7937923295622759,0.5801267649768391,0.800624317226108,-0.365014265606837,0.6639480288254662,0.7143506058394102,-0.32485588235390206,-0.0971473872459923,0.8073461216224453
44,01491000,0.6940936771733512,-0.10843918981961354,0.7105042360111947,0.09199422352565545,0.15533702878302785,4.426179022093351,3.8639013627317484,0,1,622,120,114,85,-3.044192131948226,-2.908116347438323,0.6548782057759936,0.6666594807471524,0.5897757355420011,0.795409726932389,-0.3922278722092278,0.875900188257278,0.6548863195422368,-0.3953886448470191,-0.10843918981961372,0.8626640197368323
45,01510000,0.8189183317921644,0.034074475688565045,0.8540607338662531,0.12857578408419856,0.31902099823185187,6.366429949202536,5.742732477671821,0,0,573,104,134,55,-3.014431307050164,-2.3410725041138782,0.63780711009475,0.6764709068214719,0.6144940601711604,0.8356404613269253,-0.22448995967631807,1.7601835899085378,0.8235046446301869,0.0520639313702269,0.0340744756885651,0.7461167308682484
46,01516500,0.6720913536218773,0.26813633710452983,0.9093223943038907,0.017041590872798107,0.12641471153820727,3.330850778739357,3.914027852438451,0,0,996,328,241,121,-4.409962391869538,-2.4436961339476713,0.5649125396648311,0.6012386609743031,0.46924000105365726,0.7083022230708202,-0.18462274950464627,6.612800288537229,0.670777809175751,-4.405880099798866,0.2681363371045298,0.6261434212963906
