,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev,r_coeff,bias_std
0,01013500,0.7541001292039827,-0.028352493516936354,0.7780603220257034,0.23598741453382988,0.5354747019996666,6.332147889904208,4.863737613633959,0,0,147,0,90,29,-2.4068963419104827,-1.6057452170180202,0.7963719850919421,0.7972802036131853,0.5346119840311001,0.7520648289243967,-0.2587328631715179,1.7289099009094417,0.7432121703963204,-0.054741252621790824,-0.02835249351693645,0.6877864686821425,0.8739884732073846,-0.023524574920048533
1,01022500,0.8414850285449632,-0.026335849733905563,0.8616464749381643,0.19983057537075055,0.39086959204773214,7.202226480580158,6.382844129536808,0,0,487,3,74,42,-3.0610266412340246,-2.520340752393901,0.674291834163336,0.7342415877267002,0.6687771793014501,0.8728502119633704,-0.1953055236653391,1.172384496608234,0.8377297985571825,-0.03439745631724873,-0.026335849733905615,0.8034144668266617,0.9194001029898319,-0.021816229606155715
2,01030500,0.7758634716743789,0.09526513885382273,0.8899054087956172,0.11929531914674296,0.43685841691736216,7.397641529146213,6.526779310212979,0,0,533,0,224,44,-3.5745870843011884,-2.1799129972590925,0.7027081615395716,0.7507733878650804,0.5830317587025673,0.7845248263485618,-0.18385334964079267,3.3761817052634333,0.8138443894612318,0.14832578037535613,0.09526513885382278,0.6552106113692764,0.8839929069333982,0.07445780981185414
3,01031500,0.8268304373004917,0.1409661829935505,0.8986378702281723,0.10147992006315709,0.3307165813813744,8.265858928449637,7.911664389390218,0,0,574,107,291,118,-3.4247591646864337,-2.587223546304365,0.6055002506977367,0.6629204425180464,0.624798729702519,0.8239592765906285,-0.1958422978931214,2.7379013058713353,0.8059842503753024,0.18364462240939478,0.14096618299355046,0.7307882733155895,0.9134184488312819,0.08534026701623053
4,01047000,0.8135146827458489,0.20372077676653536,0.9859574406115957,0.19543159804870847,0.38440019243735607,8.192062376201514,8.614432735670292,0,0,271,115,228,103,-2.9114848541186618,-2.581144521943114,0.6095401429757682,0.66041490755972,0.607307928809685,0.8262634514567461,-0.11722105532141872,1.2249591870301761,0.7784426887069584,0.2360941611902689,0.20372077676653522,0.8438747973131933,0.9140448150088414,0.12957079587126252
5,01052500,0.8002099219905282,0.11508600549371119,0.8263831444577718,0.2943899171198809,0.5378006896130622,8.62030887283448,8.448667053494708,0,0,120,8,205,87,-2.5272866079368295,-2.338410874053536,0.6011269057665339,0.6788021185353189,0.5905790339984278,0.8213374565451095,-0.26153386056022787,1.103315008389819,0.7691533060352944,0.12755356661910017,0.11508600549371106,0.8301264159229624,0.9004882171521134,0.07194825423788799
6,01054200,0.7364672851746776,0.13186840442885425,0.8690839478910927,0.2763132690110996,0.5318639807724768,10.328141213046054,10.675817326446438,0,0,194,64,234,123,-2.850167594464254,-2.4405941183222937,0.5728778205075779,0.6206809830130003,0.5680568651491743,0.7836785620662022,-0.2608280299929635,1.2221143583345202,0.7680210146741595,0.11984897110184213,0.13186840442885422,0.8392040914503701,0.8611260973169815,0.07075720041211762
7,01055000,0.7505347676196938,0.10577709953727753,0.8196478949511937,0.1950531077715707,0.3794664544768202,8.728624192027453,8.66442315142534,0,0,267,105,246,98,-2.832930879238089,-2.554919389297164,0.578183167969738,0.6529305891941452,0.5911913519459382,0.8034323033114252,-0.2960477803612269,1.3166748289922556,0.7537537610877473,0.12029100002089217,0.1057770995372778,0.8114023831995689,0.8699172048410111,0.06077386622107529
8,01057000,0.7927290194011418,0.2122608557470409,1.0245992450932662,0.0912887669046547,0.2932240085518895,7.534540943907109,8.00751303385666,0,0,610,170,197,95,-3.047036148388413,-2.66135653500728,0.6222132629877803,0.6631667761614451,0.5969956944242185,0.8192524322724206,-0.10677946628680272,2.3117902526313574,0.7675341946566329,0.28936935039839495,0.2122608557470409,0.7815050132718669,0.9084546182906227,0.13808525573926328
9,01073000,0.8134316824624359,0.18617497150767273,1.0503213355431797,0.062481487372491484,0.25545598656077684,6.220810373375614,6.465690509610601,0,0,928,245,138,88,-3.4428795893838076,-2.8038899308463052,0.6194388081138175,0.6504401906923065,0.6119029879602234,0.8347032555406758,0.009828848535421273,3.6613009309836033,0.790098012629133,0.2859153974868481,0.18617497150767273,0.7028982590165002,0.917141762778179,0.09989302069101717
10,01078000,0.7968846880576629,0.08500886256620147,0.9296787764915239,0.14318665375801087,0.3019825479271014,6.762816983550806,5.8924442149795215,0,0,507,78,149,56,-2.8556457298943503,-2.4957377428721115,0.6312544441214634,0.6947629862523427,0.6122957323907051,0.8332512099808663,-0.18330391667909274,1.4879802749100237,0.8478619741386325,0.1383874052263516,0.08500886256620156,0.7925827861186017,0.89524124035449,0.058185876960448565
11,01118300,0.8334246719344909,-0.06453417179120209,0.8941170668192681,0.06817396385798236,0.308388508019529,6.817395195100765,6.098742414452783,0,0,986,80,70,66,-3.7090252000439015,-2.7455443069607663,0.6568266025888818,0.6896852565733228,0.6605852491210271,0.862454930887312,-0.18997269148208362,4.141625529778576,0.8492612228053504,-0.08264252627135503,-0.06453417179120209,0.6384429488741984,0.9142893000704903,-0.04574856663150323
12,01121000,0.8241480080039276,0.03656936381358375,0.9269630580259365,0.05947754484760526,0.2662779014893186,5.7709737284510485,5.744733739611357,0,0,858,114,105,69,-3.2724851183906187,-2.597446114705171,0.6328328340460854,0.6663710607117487,0.6246879795411162,0.8380063976606482,-0.19057889544531098,4.045415513065733,0.8772144957300956,0.058311400424335524,0.03656936381358398,0.6796903765674359,0.9083235755705877,0.0235833164479034
13,01123000,0.7769130197185016,-0.039837587275736504,0.9253061865977944,0.21420726498724707,0.2803749860042865,5.060646637531292,4.798595367411955,0,0,267,5,78,64,-2.8053619950274298,-2.7011169514837663,0.680707649852354,0.6906066767740288,0.6467880638394733,0.8476255397181143,-0.2269697799975304,0.43293818696611036,0.8554969434058888,-0.07293107302276503,-0.039837587275736545,0.9214821856501373,0.8828892223383114,-0.027946562458927376
14,01134500,0.7464891351438019,0.12180575174637336,0.8547137312131207,0.2513383061507559,0.5657320575538268,7.238543400391274,6.8590964685548785,0,0,216,3,125,36,-2.530658698850601,-1.9829462441626118,0.6118858571367842,0.7014106533324987,0.5259150354959496,0.760537339098782,-0.2625722699246017,1.394878387494576,0.7694479262304027,0.15559308655320142,0.12180575174637344,0.7579113428648292,0.8688149487824571,0.09027663358416489
15,01137500,0.762443640290978,0.17643512349276552,0.9762613784359806,0.5108135794371348,0.7369401705397076,8.007959866256606,8.662850218636766,0,0,40,0,111,38,-2.3654740962275995,-2.0945436011659138,0.6582117126354505,0.6932270809653049,0.535109455826303,0.7847412863244702,-0.15383486271363236,0.7845801097039067,0.7898429715126428,0.1754927444050099,0.1764351234927656,0.8914938403675211,0.8883169589106353,0.13757006811296887
16,01139000,0.7386803662547858,0.11577572069058559,0.8668583606602381,0.2785155066953946,0.5169903997983185,5.147735457224617,5.066625690241684,0,0,126,0,53,4,-2.3307063862012107,-1.9269190277794535,0.6930281821155357,0.7485652425834074,0.5432298945251626,0.7754364377633979,-0.2658298890877138,1.1688978659992746,0.7782908437763094,0.20972479840609887,0.11577572069058557,0.7781625738230445,0.8657456282800551,0.10407597329918335
17,01139800,0.6446275540251409,0.02428990849587189,0.859456383257023,0.25341643812617076,0.4992398863053369,5.385098980707054,5.061021117690993,0,0,213,0,28,3,-2.4395912000079885,-1.9684037958552265,0.759612775422436,0.7614883313330747,0.4867786019711585,0.6954338236676711,-0.28714387569094624,1.3271981493530025,0.7584699488664127,0.04082204237681422,0.024289908495871957,0.7600620153720721,0.8050788422498505,0.023819367871111014
18,01142500,0.7405628860095336,0.17851553663961275,0.9190442690697685,0.21178010427096441,0.48405984729503326,5.701177248104458,6.288313903670729,0,0,279,0,72,16,-2.3336614507389046,-2.043474796898647,0.7149209600168933,0.7253448238685479,0.5275719799913404,0.753457119764428,-0.19136233132447425,1.715486536664481,0.766963685020199,0.2673285724554466,0.17851553663961262,0.7858028900871753,0.8739670800656111,0.14566929280009414
19,01144000,0.8329377776245555,0.09410630207298372,0.9132904047546435,0.2565967718104649,0.43228681416573134,6.272821569675551,6.393359343391786,0,0,213,6,68,30,-2.4750339484375217,-2.1694513302820213,0.6963992217476825,0.7136506289502215,0.654455244132039,0.8565301616169521,-0.16933775302989468,0.9320588069630992,0.846919179967212,0.1348836383425981,0.09410630207298355,0.8500788990878299,0.9159810291395711,0.07794268374183501
20,01162500,0.8236614961562844,-0.0037582017326436602,0.8137142450445378,0.08281205372295863,0.3344241725988899,6.396016201475138,5.269254715962669,0,0,810,2,97,35,-3.0012081637962242,-2.2145626751453027,0.6543646032084611,0.731039859793481,0.6389420259172396,0.8476149784802314,-0.22962796305802832,3.5355789265162305,0.7943548782230958,-0.006230066974389754,-0.003758201732643716,0.6318367263768397,0.912974661557406,-0.002933351457075894
21,01169000,0.7899096292148163,0.09496063482440768,0.8840720111583333,0.21236676960135936,0.3860189512818886,7.592111648219004,7.5609933366511894,0,0,373,106,109,53,-2.5778746733920523,-2.2368643790492153,0.6414883171548847,0.660682451545608,0.5983133994885383,0.8189883513190521,-0.2039470593204396,1.0564830078625558,0.8147357602925318,0.11075937946259536,0.09496063482440772,0.8299385201874817,0.8910687475916201,0.0635936531645499
22,01170100,0.7529223193717249,0.11249363903669865,0.9881613424935314,0.2008763923979331,0.3831177541769834,7.350249448063555,7.51083561393546,0,0,442,112,84,52,-2.659752891372202,-2.2372103794521094,0.6682098302572846,0.668694480827464,0.5693089808363385,0.7924258400778748,-0.13494113533330798,1.1313670126161413,0.8341292494344934,0.13350393207954672,0.1124936390366986,0.831424077528462,0.8786816862221949,0.08468774299745477
23,01181000,0.7992324561976041,0.1880495263852842,0.9345004071164907,0.15080301446898714,0.3347961926797946,7.375774145367944,8.014570435503241,0,0,583,238,133,71,-2.6127985596185117,-2.3392710528322818,0.6181111405922229,0.6412843816623349,0.5919910039706464,0.8275735868427774,-0.08594663252028589,1.5035985845615845,0.7781048815640699,0.22274623795305842,0.18804952638528416,0.8118376161563955,0.9020989144898777,0.11617894133304651
24,01187300,0.7518967427451175,0.13585197296022547,0.9948586194880646,0.06173574054790265,0.22334720973844216,7.201714114489794,7.620701825123285,0,0,836,437,157,104,-3.0865743827914507,-2.5666532126219654,0.5662461956589994,0.6012268869426193,0.5982544054634908,0.8261621089502984,-0.11662574712466067,2.975458691575786,0.8174850042834023,0.17032222645575995,0.13585197296022566,0.7489351986812661,0.8782234369401265,0.07599202323063983
25,01333000,0.7342349461184037,0.018633404450619773,0.768026238241277,0.2440223396922685,0.44683162761869466,6.891413203047004,6.014874083626566,0,0,364,35,64,9,-2.523967131245625,-1.897698797018201,0.6791881442608422,0.7255682073324888,0.5832900933561198,0.7963792798731228,-0.356244508460593,1.1140755057574923,0.7295270946384729,0.023498783748382494,0.018633404450619815,0.7542306410098648,0.8621719816989576,0.015559961427344013
26,01350000,0.8029674347050191,0.11120542476660239,0.8904915528924214,0.11164936187870755,0.3464192210578692,7.681874700470883,8.061180216933181,0,0,707,151,165,93,-3.0880202977654143,-2.259026990672396,0.5929918320752795,0.6249948810002761,0.5948606205193141,0.8106525927418142,-0.22183340233394602,2.40348128295198,0.8137335535044435,0.13037137406711705,0.11120542476660232,0.7373729487818514,0.8983317030503205,0.06300939275483253
27,01350140,0.6803344402386289,0.12255905230004063,0.8407947007672347,0.039668050727992066,0.20625275551062122,5.425184384761543,6.108173557190489,0,0,968,304,151,106,-3.2768803460628146,-2.5533534670023674,0.5913678218647155,0.6297397978406003,0.5096127940384965,0.7554356361079848,-0.3277609663097521,4.998660063824636,0.7352484539570551,0.23687975240743206,0.1225590523000408,0.6830981806240465,0.8275867391189089,0.06625765740866411
28,01365000,0.7663473054461984,0.022221151515387175,0.8495327706693814,0.29609359323934803,0.5575073269205428,8.512690736188574,8.03421205017402,0,0,436,38,75,37,-2.338238892981165,-1.885545492415672,0.6800569992098919,0.6857369957199416,0.5751136104991733,0.7973500199906305,-0.2622708751446372,1.1686195541244917,0.8037396742441774,0.02112325985588739,0.022221151515387255,0.7971240862448495,0.8759679525740268,0.016543188590665996
29,01411300,0.5716850922819217,0.09049031558249833,0.9234302669443333,0.3375114904612948,0.35430401525025046,3.2830660572008203,3.4829349420356888,0,0,22,0,22,9,-1.6769248092785036,-2.04546290976176,0.7891493199699727,0.7872800722814914,0.5139910468930136,0.7125429164098,-0.23360908934294428,0.19953718708242923,0.7463101846478915,0.38585996055689237,0.0904903155824981,1.0047411840318163,0.7757075543426601,0.09062858467605983
30,01413500,0.7745538285501268,0.012744708213884366,0.7775948653059432,0.15277052661197704,0.4245721394170857,6.029652800344229,5.792074110432054,0,0,577,0,85,30,-2.7673000187845855,-1.991241696353964,0.6705373127027879,0.7028170798703172,0.5860599943172674,0.810504687390396,-0.3005146569192567,1.9428472339732599,0.7501617839026128,0.018095543912363603,0.012744708213884657,0.7046856454838789,0.8868953462629137,0.009105800974546073
31,01414500,0.6993931183253481,0.002418492958645019,0.8027113966141376,0.19125653920398,0.45466009518831846,6.675226729050264,6.287553941857418,0,0,470,13,81,32,-2.750172763256702,-1.9781514547684373,0.6610339475007222,0.6904130324740022,0.5643474236006873,0.781636098235502,-0.34194892283856076,1.5693799062039944,0.7440760565922511,0.0029606444214906953,0.0024184929586450934,0.7383838646895426,0.8370017709444746,0.0017366312001511426
32,01415000,0.7085811817271421,0.06653660388633816,0.8582413896172497,0.11101281986866951,0.3855967196697831,5.721429070330486,5.555964732953752,0,0,623,5,88,31,-2.776638735998844,-2.0139030128372424,0.6348351656169274,0.6862004855860406,0.5382748860586721,0.76725127157983,-0.2763482534945629,2.6676414861524442,0.7783768635058577,0.10384721899196434,0.06653660388633802,0.6804207880461702,0.8431746469631731,0.046204835427644274
33,01423000,0.7897108174001247,0.017636387253827893,0.801663711096208,0.10816636559266102,0.3755793031619669,5.949147572743807,5.643110868972197,0,0,649,2,86,33,-2.8106600535029598,-2.091320129434698,0.6536176789435032,0.6975672742426708,0.5862628791295992,0.8147141854746184,-0.292826571703345,2.369671617904049,0.7741752727247406,0.026945934842141996,0.017636387253827795,0.6923184653826797,0.8934707467525945,0.012271804449139674
34,01435000,0.7944985979747032,-0.05591887213031261,0.7861493990640639,0.4115005067436195,0.5470850505753988,9.123959014763946,8.33282747397173,0,0,184,45,84,53,-2.020486085238237,-1.9272879546169945,0.6618859201197091,0.6582084666657135,0.6113487396327897,0.830562217393917,-0.29597179486331515,0.5226961769252857,0.7571068383340877,-0.051522130896848,-0.0559188721303126,0.8794502420795431,0.8993119262123077,-0.03817466736148088
35,01439500,0.8270692271752176,-0.03217154488889334,0.795510518335467,0.1130807982807136,0.43560415884596687,5.853141137581917,5.076795934080718,0,0,706,3,49,13,-2.498433930475876,-1.9171539388054597,0.7181476034900126,0.7433270580851451,0.6108999850097816,0.8294434655042822,-0.24900500411315424,3.1095706510113734,0.7773743140096274,-0.045557081794302026,-0.03217154488889356,0.6444099737838808,0.9180778439571042,-0.027835270423274994
