,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev
0,01013500,0.730788844734324,-0.11030930544802256,0.9166781266515456,0.23598741453382988,0.3468923406553309,6.332147889904208,5.457853150856888,0,0,147,0,90,109,-2.4068963419104827,-2.026613970315601,0.7963719850919421,0.7315127488879746,0.5354312282626291,0.7432342244455143,-0.15450038161990615,1.0278844874840223,0.8043257041040732,-0.22245299458554696,-0.11030930544802262,0.8575592177019894
1,01022500,0.7844154393240276,-0.1609809822568863,0.8278873369157642,0.19983057537075055,0.2737394757174151,7.202226480580158,5.807352174535535,0,0,487,105,74,75,-3.0610266412340246,-2.4094929680129193,0.674291834163336,0.7014043716326909,0.6269550856720485,0.8375171564132761,-0.22974465282929266,0.654098803430943,0.7433799254674711,-0.22621833251156578,-0.16098098225688642,0.8460679260857954
2,01030500,0.684012797805423,-0.06616322877414994,0.866885466081264,0.11929531914674296,0.32373767947159693,7.397641529146213,5.932073535009565,0,1,533,3,224,110,-3.5745870843011884,-2.4259625204351765,0.7027081615395716,0.7023883067372515,0.5602441769564814,0.7626223540846537,-0.276379983514781,2.298137672817779,0.7738045658761901,-0.11158055355284924,-0.06616322877414989,0.7425236168879099
3,01031500,0.7901017108345346,-0.0270323113412756,0.8355730625547876,0.10147992006315709,0.22144515702441178,8.265858928449637,6.925326191118463,0,0,574,206,291,160,-3.4247591646864337,-2.650873402025674,0.6055002506977367,0.6491687286276391,0.6455135485773611,0.8402046808111483,-0.27231495629469354,1.6721628311441064,0.8007380231967713,-0.03816231403237009,-0.027032311341275518,0.780106713920311
4,01047000,0.7966510096064258,0.01879542149900943,0.8657745760752218,0.19543159804870847,0.3903931711919671,8.192062376201514,7.312065482378502,0,0,271,27,228,114,-2.9114848541186618,-2.442171698542191,0.6095401429757682,0.6755082166529494,0.6515671230436573,0.8517998153592716,-0.24255546541924877,1.157597834090086,0.8273498171397892,0.02371029984285315,0.01879542149900943,0.8074149011674795
5,01052500,0.7661614875268923,0.02898866641636111,0.8155806366489087,0.2943899171198809,0.4528644010505962,8.62030887283448,8.173720201608926,0,0,120,44,205,109,-2.5272866079368295,-2.3190949774065426,0.6011269057665339,0.668441795795865,0.5911258593950224,0.8029688224480175,-0.2848193420096825,0.7870856011803491,0.7768197878897387,0.0334616336160521,0.02898866641636115,0.8614236474022209
6,01054200,0.6820149224434111,0.03173363252457136,0.7040071456261431,0.2763132690110996,0.568417974136427,10.328141213046054,9.082060962011187,0,0,194,60,234,72,-2.850167594464254,-2.2885927668334154,0.5728778205075779,0.6657492531708575,0.5570829947289169,0.7679878486727648,-0.41535136715322457,1.3213523317316125,0.6604097287407231,0.030226473335686566,0.031733632524571426,0.7797538553830268
7,01055000,0.7043038642301536,0.004874227168655391,0.7626911107163725,0.1950531077715707,0.3639764725437943,8.728624192027453,8.012985383248607,0,0,267,50,246,126,-2.832930879238089,-2.510080775338302,0.578183167969738,0.6664094296410814,0.5985726518214929,0.7957372816601539,-0.3707214552075897,1.2503631033698839,0.715456206015473,0.005817115566526284,0.004874227168655498,0.803536429045999
8,01057000,0.7798113143886781,-0.0001647991314128898,0.768188604537365,0.0912887669046547,0.34577355299266865,7.534540943907109,6.1804176187975886,0,0,610,22,197,66,-3.047036148388413,-2.1956510911456424,0.6222132629877803,0.7072661687389963,0.6195271983317623,0.8311337891777778,-0.34218640897300545,3.026901737273081,0.7441206278442998,-0.00024776595144177167,-0.0001647991314129526,0.6763176467213045
9,01073000,0.8209232328684736,0.039246028040288435,0.8529840430400314,0.062481487372491484,0.2417494321267467,6.220810373375614,5.407171401655421,0,0,928,237,138,64,-3.4428795893838076,-2.413224835180347,0.6194388081138175,0.6801510356305838,0.6214202237638307,0.8369219725558282,-0.18231863813261404,3.5844246998201945,0.8221642662673493,0.06446555013516796,0.03924602804028856,0.66547046101441
10,01078000,0.7809594785831324,-0.05965254554883077,0.7956355197002742,0.14318665375801087,0.31304373589713913,6.762816983550806,4.988108133388122,0,0,507,24,149,61,-2.8556457298943503,-2.082688298565706,0.6312544441214634,0.7111991875188454,0.6156104055623972,0.8258981248350443,-0.28961434046624385,1.6176515838477168,0.7602042888782401,-0.10432437806804616,-0.05965254554883082,0.7224445165794724
11,01118300,0.8379874892515742,-0.13568496613045736,0.8588356369464343,0.06817396385798236,0.2997567720685719,6.817395195100765,5.364190114914303,0,0,986,139,70,60,-3.7090252000439015,-2.234787881592482,0.6568266025888818,0.6964574075349557,0.6368163435213685,0.8434317609201357,-0.2118808981673021,4.210862322807942,0.7894814606580651,-0.18064225091894623,-0.1356849661304573,0.5959836678703833
12,01121000,0.781871679474816,-0.10028504706156363,0.7851494961784329,0.05947754484760526,0.26671840546486775,5.7709737284510485,4.863657073733018,0,0,858,69,105,57,-3.2724851183906187,-2.3103553062678235,0.6328328340460854,0.6971130853902756,0.6071793328227083,0.8148143787372017,-0.33766312462647086,4.166942158896684,0.7399337736632594,-0.17156956112828695,-0.10028504706156349,0.6366090308661051
13,01123000,0.7537120984363123,-0.05421020781906235,0.946500678791937,0.21420726498724707,0.23978332419996765,5.060646637531292,4.916752454567657,0,0,267,126,78,69,-2.8053619950274298,-2.540498325191308,0.680707649852354,0.690362685659456,0.6099234933996391,0.8239492265574399,-0.21958548966307387,0.3141548369221592,0.8512014452671433,-0.09998834536884346,-0.05421020781906252,0.9453452066072435
