,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev,r_coeff
0,01013500,0.6765432205657398,-0.08928446241626149,0.938735328148459,0.23598741453382988,0.3963585354947088,6.332147889904208,5.408220243148294,0,0,147,0,90,122,-2.4068963419104827,-1.7440549642836474,0.7963719850919421,0.7482651709009418,0.481042615669079,0.681167942821343,-0.1441837671248905,1.1177794295719172,0.8006645942823266,-0.1779996129165973,-0.08928446241626148,0.8192175158528132,0.832639524598573
1,01022500,0.7983425852600712,-0.13381718979069648,0.8935135888014523,0.19983057537075055,0.282776795217132,7.202226480580158,6.38650728136187,0,0,487,15,74,87,-3.0610266412340246,-2.9821413716728378,0.674291834163336,0.6948614002169532,0.6252330144147027,0.835275308413524,-0.1895874355215135,0.6462472074167837,0.8020834290344252,-0.18515276571405836,-0.13381718979069662,0.9002156256000311,0.9003778488018557
2,01030500,0.6779588651206461,0.06191498375293686,0.9857715655226111,0.11929531914674296,0.35875863193923124,7.397641529146213,6.729575599687997,0,0,533,1,224,103,-3.5745870843011884,-2.5053516368138777,0.7027081615395716,0.7135877954101708,0.5542149563695837,0.7619102296009557,-0.16732686889271323,2.769046055006388,0.825938472575295,0.0979214156475033,0.06191498375293681,0.7253570532283248,0.837945991198559
3,01031500,0.7797355589874264,0.0758252244823453,0.9475033064923936,0.10147992006315709,0.2632927714110341,8.265858928449637,7.822840228501875,0,0,574,108,291,187,-3.4247591646864337,-2.911774800077214,0.6055002506977367,0.6344209573019101,0.6304865294358113,0.8270586901293395,-0.17078662874973652,2.1223687241893328,0.8536247954805072,0.10177954438915625,0.07582522448234537,0.7856658188060812,0.8863323572818819
4,01047000,0.7790036265403303,0.10200827715040156,1.0145503732517545,0.19543159804870847,0.3226527712254371,8.192062376201514,8.248152042874139,0,0,271,79,228,139,-2.9114848541186618,-2.8545165108049693,0.6095401429757682,0.6342977272621325,0.6456793479721701,0.8468203327317246,-0.10281166192220824,0.9237625247077892,0.8516436788915699,0.12368214490811809,0.1020082771504016,0.8950692809309178,0.8932657691091134
5,01052500,0.7805600762412481,0.0923658343400705,0.8963282714831616,0.2943899171198809,0.4604482325529651,8.62030887283448,8.811623955718108,0,0,120,11,205,126,-2.5272866079368295,-2.3752984826001162,0.6011269057665339,0.6595724673496937,0.5978030694014786,0.8184662915075652,-0.21019341614467224,0.8976829824385755,0.8199943587012428,0.10344870353480622,0.09236583434007052,0.8736260804792088,0.8854454005621317
6,01054200,0.7259148572239922,0.09761291719825468,0.9080292397229638,0.2763132690110996,0.33491627206873215,10.328141213046054,11.136706319529944,0,0,194,207,234,160,-2.850167594464254,-2.862629827551118,0.5728778205075779,0.5929609318625789,0.579512254171209,0.7892477023701034,-0.23189102136854745,0.5365751050708322,0.8026658270816002,0.09011454019871147,0.09761291719825481,0.9545902123559598,0.855245471740952
7,01055000,0.7486800994105556,-0.019990291747444898,0.8074223408613143,0.1950531077715707,0.3118870776034369,8.728624192027453,8.013841328640746,0,0,267,51,246,150,-2.832930879238089,-2.7685844521384797,0.578183167969738,0.6288349727946008,0.6398205336101517,0.829648039969564,-0.30643823008199045,0.9392630151074469,0.7653424648619068,-0.02415765487375334,-0.019990291747444846,0.8549437384434738,0.8674164707303292
8,01057000,0.6936870593931364,0.16517678151557347,1.0863213589671377,0.0912887669046547,0.24505045819436289,7.534540943907109,7.960892418358557,0,0,610,259,197,123,-3.047036148388413,-3.0306742789820906,0.6222132629877803,0.6351034075150629,0.5850302907814711,0.7992061086625617,-0.10852497270322879,1.8424114309407988,0.7714776398013721,0.22981649290296646,0.16517678151557336,0.8391677286569605,0.8677588454943979
9,01073000,0.7901947581218536,0.11985917119020406,1.0431681546263956,0.062481487372491484,0.2525566149369458,6.220810373375614,6.306984205785969,0,0,928,112,138,103,-3.4428795893838076,-2.9792762998948676,0.6194388081138175,0.6333714537105702,0.6182041059568999,0.8360616684731372,-0.009194506147688467,3.7293966762566706,0.8394628053800424,0.18957265028653134,0.11985917119020413,0.7117926754901551,0.9023143799518315
