,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC,obsBF,simBF,abs_nse,sqrt_nse,FHV,FLV,kge,FMM,bias_RR,log_stdev
0,01013500,0.7599564941605397,-0.042226971053924076,0.7712931716864749,0.23598741453382988,0.5530951182362335,6.332147889904208,5.098469049947052,0,0,147,0,90,26,-2.4068963419104827,-1.5408652781944496,0.7963719850919421,0.7874315785690701,0.526710834549774,0.7469310919100154,-0.28225541411956134,1.8357094963617533,0.7378772399622562,-0.08211410368646957,-0.04222697105392411,0.6944986302250618
1,01022500,0.8111959898874761,-0.08565720152803527,0.86570235741022,0.19983057537075055,0.36272291793071226,7.202226480580158,6.083034036392739,0,0,487,0,74,64,-3.0610266412340246,-2.5940981305768096,0.674291834163336,0.7088977448013265,0.6485289863539226,0.8596071538165199,-0.18465253975231105,1.0410814769466157,0.8141625023605736,-0.11541459370674488,-0.08565720152803549,0.8117287924143147
2,01030500,0.7537119123982964,0.0695122606762251,0.91584426906058,0.11929531914674296,0.40788118266682655,7.397641529146213,6.6747322505141105,0,1,533,1,224,65,-3.5745870843011884,-2.3279109168136882,0.7027081615395716,0.7337051202650827,0.5796092891587332,0.7848152568881436,-0.20324454631542094,3.0932513659206484,0.8310315907251273,0.10954155607023566,0.06951226067622514,0.7176187395125596
3,01031500,0.8302257080497615,0.09237144086869467,0.9101037579458844,0.10147992006315709,0.33492684689696606,8.265858928449637,7.735138716870791,0,0,574,22,291,150,-3.4247591646864337,-2.5825801541173012,0.6055002506977367,0.6406641611792712,0.6457318648873546,0.8386899708933993,-0.17663151451527298,2.9195375008090583,0.8444280567170693,0.12303413640188539,0.0923714408686948,0.7265897574208362
4,01047000,0.841697305894976,0.10043086329785793,0.9161771751009162,0.19543159804870847,0.39968213703832994,8.192062376201514,8.09235937426956,0,0,271,7,228,127,-2.9114848541186618,-2.473194370476242,0.6095401429757682,0.6459767665087187,0.6526709816962666,0.854566997354031,-0.16571018671124357,1.3531061562466054,0.8464886057259355,0.12185822170929142,0.10043086329785775,0.8169606985770641
5,01052500,0.7938927599976956,0.046312192125933724,0.8179309400453071,0.2943899171198809,0.44006442480478064,8.62030887283448,8.09598704803199,0,0,120,11,205,103,-2.5272866079368295,-2.425974993710786,0.6011269057665339,0.6672347249830419,0.6088594350412663,0.8252876279549952,-0.2739371787005165,0.9211882945977623,0.7846758869050007,0.05301107166482432,0.046312192125933585,0.8695574522527134
6,01054200,0.743856127491805,0.03297488258946619,0.8569403448751365,0.2763132690110996,0.39481501023408794,10.328141213046054,10.172474599850531,0,0,194,83,234,150,-2.850167594464254,-2.5755161460871663,0.5728778205075779,0.5999807745587165,0.6100620867792244,0.8132160535558621,-0.2676681042049798,0.7862742789483745,0.7989713239901952,0.03138979476596963,0.03297488258946626,0.8963677329136022
7,01055000,0.7554273038490873,-0.018375791396982605,0.8053646224908407,0.1950531077715707,0.3334431466477587,8.728624192027453,8.216818081502199,0,0,267,23,246,177,-2.832930879238089,-2.6939733180173913,0.578183167969738,0.631146050097595,0.6516286602859396,0.8409254288087897,-0.2991680993873697,0.9992308838763754,0.7661859261147521,-0.02218837028194652,-0.018375791396982546,0.840216356556394
8,01057000,0.8055591520299352,0.196117773904618,1.080844172480281,0.0912887669046547,0.2884459293085333,7.534540943907109,8.168080912512835,0,0,610,128,197,142,-3.047036148388413,-2.6498921710845953,0.6222132629877803,0.629518279980259,0.6050710676385407,0.8348299382642712,-0.030987995581355482,2.2506773433026077,0.7735020558007826,0.26921591435711684,0.19611777390461782,0.7942132488169522
9,01073000,0.7739422964049485,0.19305650426068288,1.1320028346419861,0.062481487372491484,0.25730342741607654,6.220810373375614,6.602685330061358,0,0,928,202,138,104,-3.4428795893838076,-2.694865272756632,0.6194388081138175,0.622594424528396,0.5816750056281041,0.8196904387866446,0.07742540511530603,3.704434003956215,0.7503274195203437,0.2956025843432014,0.19305650426068294,0.7084216583516443
10,01078000,0.8465916419967399,0.04941947641473908,0.9270268957568433,0.14318665375801087,0.29458927801599927,6.762816983550806,6.054018263158253,0,0,507,42,149,82,-2.8556457298943503,-2.51303719990843,0.6312544441214634,0.6676680733967038,0.6487834512506906,0.8626633321250228,-0.13131274819828137,1.416987612153133,0.8814742350448399,0.08181838980375589,0.049419476414739184,0.7991145596842086
11,01118300,0.7913951509272177,0.023875413909864994,0.9926898796697605,0.06817396385798236,0.32150747628137955,6.817395195100765,6.731503199685616,0,0,986,103,70,67,-3.7090252000439015,-2.794162079441174,0.6568266025888818,0.6784290207239831,0.6283517851125346,0.8457268075791414,-0.11210524973013263,4.421849740515693,0.8921699017315842,0.029229784510699446,0.023875413909865112,0.6540421377219399
12,01121000,0.7984635629197909,-0.012190410538930215,0.9458873244827553,0.05947754484760526,0.2506614307304774,5.7709737284510485,5.717026226013024,0,0,858,96,105,88,-3.2724851183906187,-2.57212684997427,0.6328328340460854,0.6382940148547426,0.612561435176589,0.8279930562383397,-0.17342864686098508,3.7554292627946957,0.8812910671581293,-0.019913040847972557,-0.012190410538930052,0.6850518577507617
13,01123000,0.7595816864616234,-0.049032872359944774,0.9662607452522457,0.21420726498724707,0.28307828043759975,5.060646637531292,4.815671484466346,0,0,267,7,78,81,-2.8053619950274298,-2.464208413979387,0.680707649852354,0.6691388190702123,0.6278228101637736,0.8358273033187872,-0.18183201082705586,0.46958820087145514,0.8631713963276981,-0.09019462874780185,-0.0490328723599447,0.9069408323667939
14,01134500,0.7601631875836847,0.04893942579145597,0.7957695468186414,0.2513383061507559,0.5389130637882228,7.238543400391274,6.334849493877247,0,0,216,0,125,36,-2.530658698850601,-1.9235827763964168,0.6118858571367842,0.693325562034255,0.5509851903778071,0.7771095516044306,-0.3024419269954642,1.519183361219417,0.7562847632364256,0.06467891459975365,0.04893942579145596,0.740753959572003
15,01137500,0.7533238551875279,0.0401808932238949,0.8935678066562565,0.5108135794371348,0.5582085661671835,8.007959866256606,7.7019418574635345,0,0,40,0,111,52,-2.3654740962275995,-2.2433112247253404,0.6582117126354505,0.6750291478612416,0.5814013103883913,0.8023733197686898,-0.24753788574909472,0.514523905327676,0.826390514959393,0.04254738224549133,0.04018089322389497,0.9399536992839866
16,01139000,0.736237767642621,0.03089923644508932,0.7949070803243925,0.2785155066953946,0.5353675312733096,5.147735457224617,4.56024674845179,0,0,126,0,53,8,-2.3307063862012107,-1.699279688969904,0.6930281821155357,0.739644246655189,0.556333700919464,0.7824744975073361,-0.3175974734988227,1.2508078215885108,0.7503423366191134,0.05825869788777905,0.03089923644508928,0.7356289403423908
17,01139800,0.6243676869715108,-0.05623019723153881,0.7272174698561011,0.25341643812617076,0.5563812380086883,5.385098980707054,4.314128217737996,0,0,213,0,28,2,-2.4395912000079885,-1.6698623445420628,0.759612775422436,0.7681010960506384,0.46896036209603953,0.6781141066311926,-0.39129152070263995,1.5470498039577991,0.6541629404933501,-0.09843888426812644,-0.056230197231538846,0.676353161679507
18,01142500,0.7369843521224998,0.09498340375446344,0.850911374494416,0.21178010427096441,0.49237420067776644,5.701177248104458,5.788977033266971,0,0,279,0,72,21,-2.3336614507389046,-1.860292423143065,0.7149209600168933,0.7197805776746218,0.5434017794736395,0.7722578350717129,-0.27106108743063345,1.711527534118996,0.7757643466656113,0.14767946216619912,0.0949834037544633,0.7538150408457177
19,01144000,0.8175124425440581,0.052577491931389934,0.8521709732461995,0.2565967718104649,0.46826682740246023,6.272821569675551,5.9882593148810175,0,0,213,1,68,26,-2.4750339484375217,-1.941300787543585,0.6963992217476825,0.7122853511498359,0.6368416316181646,0.8511012531137211,-0.23140456609415064,1.091679041882457,0.8175381382688685,0.07684966855484707,0.052577491931389914,0.8002615483939782
20,01162500,0.8340602926601188,-0.024655350153578448,0.9066293727177117,0.08281205372295863,0.28021731952796686,6.396016201475138,5.414010129032159,0,0,810,42,97,58,-3.0012081637962242,-2.4771470000006093,0.6543646032084611,0.6826250579526227,0.65995592829317,0.867577867740633,-0.1201275948766161,2.8227163947167053,0.8703519174509093,-0.041306282153048275,-0.024655350153578472,0.6856996966184477
21,01169000,0.7893121975449177,0.045911593071461324,0.855646812993879,0.21236676960135936,0.3226850627974549,7.592111648219004,7.643793566619123,0,0,373,186,109,64,-2.5778746733920523,-2.310811922324495,0.6414883171548847,0.640762901385053,0.6193881633713807,0.8354502850930459,-0.22536748041394514,0.759560258583466,0.8125673703466523,0.05480541656431587,0.04591159307146129,0.8704559753501617
22,01170100,0.7600354047267985,0.07232346717664187,0.9371052222682912,0.2008763923979331,0.3455067519126087,7.350249448063555,7.301050464767436,0,0,442,132,84,50,-2.659752891372202,-2.2267001793484638,0.6682098302572846,0.6566077084496126,0.5748881884130445,0.8019942264401001,-0.1804916374500665,1.017578576142609,0.8430048740206681,0.08744773992600546,0.07232346717664187,0.8417747094400867
